case_id,student_id,course_code,course_name,faculty_name,incident_date,violation_type,severity,status,description
AI000015,S006106,BIO432,Principles of Biology,Prof. Nancy Baker,2024-08-20,Plagiarism,Minor,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for plagiarism.
AI000016,S007550,PHYS199,Intermediate Physics,Dr. Chelsea Hernandez,2024-08-20,Exam Impersonation,Moderate,Resolved - Sanction Issued,Dr. Chelsea Hernandez submitted a report alleging exam impersonation in PHYS199.
AI000017,S007039,MATH435,Intermediate Mathematics,Prof. Jeffrey Lawrence,2024-08-20,Unauthorized Collaboration,Minor,Resolved - Sanction Issued,"During grading, Prof. Jeffrey Lawrence identified indicators consistent with unauthorized collaboration."
AI000018,S003768,POL213,Topics in Political Science,Prof. Michelle Ray,2024-08-20,Fabrication of Data,Severe,Resolved - Sanction Issued,Prof. Michelle Ray submitted a report alleging fabrication of data in POL213.
AI000019,S007566,EE213,Electrical Engineering Seminar,Dr. Jeffery Wagner,2024-08-27,Unauthorized Collaboration,Serious,Pending Review,Dr. Jeffery Wagner submitted a report alleging unauthorized collaboration in EE213.
AI000020,S006998,SOC111,Topics in Sociology,Dr. Diana Foster,2024-08-28,Cheating on Exam,Minor,Resolved - No Violation Found,Dr. Diana Foster submitted a report alleging cheating on exam in SOC111.
AI000021,S003785,POL281,Introduction to Political Science,Prof. Amanda Dudley,2024-08-28,Exam Impersonation,Moderate,Resolved - No Violation Found,Prof. Amanda Dudley submitted a report alleging exam impersonation in POL281.
AI000022,S005348,EE398,Electrical Engineering Seminar,Prof. Megan Parsons,2024-08-28,Contract Cheating,Serious,Under Investigation,Faculty member reported a suspected case of contract cheating in a submitted assignment.
AI000023,S004843,EE157,Advanced Electrical Engineering,Dr. Jason Hahn,2024-09-03,Duplicate Submission,Moderate,Appealed,A case of duplicate submission was flagged via the course's academic integrity review process.
AI000024,S007554,CHEM167,Advanced Chemistry,Dr. Tasha Valencia,2024-09-05,Unauthorized Materials,Minor,Resolved - Sanction Issued,"During grading, Dr. Tasha Valencia identified indicators consistent with unauthorized materials."
AI000025,S000331,HIST151,History Fundamentals,Dr. Chelsea Hernandez,2024-09-06,Cheating on Exam,Minor,Resolved - Sanction Issued,"During grading, Dr. Chelsea Hernandez identified indicators consistent with cheating on exam."
AI000026,S000058,EE480,Electrical Engineering Seminar,Dr. Reginald Robinson,2024-09-06,Contract Cheating,Minor,Pending Review,Student was referred to the Academic Integrity Office for contract cheating.
AI000027,S005364,ME264,Advanced Mechanical Engineering,Dr. Debra Gardner,2024-09-08,Contract Cheating,Moderate,Resolved - Sanction Issued,Dr. Debra Gardner submitted a report alleging contract cheating in ME264.
AI000028,S002273,MATH278,Mathematics Seminar,Dr. George Daniel,2024-09-09,Cheating on Exam,Moderate,Resolved - Sanction Issued,"During grading, Dr. George Daniel identified indicators consistent with cheating on exam."
AI000029,S007478,POL478,Intermediate Political Science,Dr. Christopher Williams,2024-09-13,Duplicate Submission,Minor,Under Investigation,A case of duplicate submission was flagged via the course's academic integrity review process.
AI000030,S006276,CHEM394,Chemistry Fundamentals,Dr. George Daniel,2024-09-18,Unauthorized Materials,Serious,Resolved - No Violation Found,Dr. George Daniel submitted a report alleging unauthorized materials in CHEM394.
AI000031,S003445,CHEM431,Principles of Chemistry,Dr. Debra Gardner,2024-09-20,Unauthorized Materials,Severe,Under Investigation,Faculty member reported a suspected case of unauthorized materials in a submitted assignment.
AI000032,S009582,PSY197,Psychology Seminar,Prof. Christopher Hall,2024-09-24,Unauthorized Use of AI Tools,Moderate,Under Investigation,Faculty member reported a suspected case of unauthorized use of ai tools in a submitted assignment.
AI000033,S005862,EE218,Principles of Electrical Engineering,Dr. Linda Wolfe,2024-09-24,Cheating on Exam,Minor,Resolved - Sanction Issued,Dr. Linda Wolfe submitted a report alleging cheating on exam in EE218.
AI000034,S004085,ME431,Introduction to Mechanical Engineering,Dr. Jeffery Wagner,2024-09-25,Plagiarism,Serious,Pending Review,A case of plagiarism was flagged via the course's academic integrity review process.
AI000035,S004698,SOC291,Advanced Sociology,Prof. Kenneth Fowler,2024-09-26,Cheating on Exam,Severe,Resolved - No Violation Found,"During grading, Prof. Kenneth Fowler identified indicators consistent with cheating on exam."
AI000036,S004279,CHEM134,Chemistry Fundamentals,Dr. Diana Foster,2024-09-26,Contract Cheating,Serious,Resolved - No Violation Found,Student was referred to the Academic Integrity Office for contract cheating.
AI000037,S008272,SOC449,Advanced Sociology,Prof. Anna Baker,2024-09-28,Unauthorized Materials,Serious,Pending Review,Student was referred to the Academic Integrity Office for unauthorized materials.
AI000038,S004394,CS139,Computer Science Fundamentals,Dr. Rita Harrell,2024-09-30,Fabrication of Data,Serious,Resolved - Sanction Issued,A case of fabrication of data was flagged via the course's academic integrity review process.
AI000039,S002270,NUR216,Topics in Nursing,Dr. Christopher Williams,2024-10-02,Cheating on Exam,Serious,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for cheating on exam.
AI000040,S007450,BIO481,Topics in Biology,Prof. Christopher Hall,2024-10-02,Cheating on Exam,Serious,Pending Review,A case of cheating on exam was flagged via the course's academic integrity review process.
AI000041,S002645,PHYS432,Physics Fundamentals,Prof. Vincent White,2024-10-04,Fabrication of Data,Minor,Resolved - Sanction Issued,Faculty member reported a suspected case of fabrication of data in a submitted assignment.
AI000042,S003280,ENG176,Introduction to English,Prof. Kenneth Fowler,2024-10-05,Unauthorized Collaboration,Severe,Appealed,"During grading, Prof. Kenneth Fowler identified indicators consistent with unauthorized collaboration."
AI000043,S009576,CS453,Principles of Computer Science,Dr. Diana Foster,2024-10-06,Unauthorized Materials,Minor,Appealed,Dr. Diana Foster submitted a report alleging unauthorized materials in CS453.
AI000044,S003624,BIO471,Advanced Biology,Dr. Debra Gardner,2024-10-08,Unauthorized Use of AI Tools,Minor,Pending Review,A case of unauthorized use of ai tools was flagged via the course's academic integrity review process.
AI000045,S000473,BUS194,Principles of Business Administration,Prof. Craig Ramirez,2024-10-08,Fabrication of Data,Moderate,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for fabrication of data.
AI000046,S007452,SOC150,Sociology Fundamentals,Dr. Jeremy Roberts,2024-10-08,Cheating on Exam,Moderate,Pending Review,Dr. Jeremy Roberts submitted a report alleging cheating on exam in SOC150.
AI000047,S000414,CS189,Topics in Computer Science,Dr. Tasha Valencia,2024-10-09,Unauthorized Use of AI Tools,Minor,Pending Review,Dr. Tasha Valencia submitted a report alleging unauthorized use of ai tools in CS189.
AI000048,S007419,ME307,Topics in Mechanical Engineering,Prof. Maria Montgomery,2024-10-10,Cheating on Exam,Moderate,Resolved - No Violation Found,Faculty member reported a suspected case of cheating on exam in a submitted assignment.
AI000049,S000027,EE413,Advanced Electrical Engineering,Dr. Susan Rogers,2024-10-10,Plagiarism,Serious,Under Investigation,"During grading, Dr. Susan Rogers identified indicators consistent with plagiarism."
AI000050,S007486,MATH222,Intermediate Mathematics,Dr. Joshua Walker,2024-10-14,Unauthorized Use of AI Tools,Minor,Resolved - Sanction Issued,Dr. Joshua Walker submitted a report alleging unauthorized use of ai tools in MATH222.
AI000051,S007489,MATH374,Principles of Mathematics,Dr. Matthew Moore,2024-10-15,Fabrication of Data,Severe,Resolved - Sanction Issued,A case of fabrication of data was flagged via the course's academic integrity review process.
AI000052,S007361,SOC369,Principles of Sociology,Prof. Kenneth Fowler,2024-10-17,Unauthorized Use of AI Tools,Moderate,Resolved - Sanction Issued,Faculty member reported a suspected case of unauthorized use of ai tools in a submitted assignment.
AI000053,S002685,ME108,Principles of Mechanical Engineering,Prof. Cynthia Diaz,2024-10-20,Cheating on Exam,Minor,Under Investigation,Student was referred to the Academic Integrity Office for cheating on exam.
AI000054,S006430,HIST186,History Seminar,Dr. Christopher Davis,2024-10-20,Unauthorized Collaboration,Serious,Pending Review,A case of unauthorized collaboration was flagged via the course's academic integrity review process.
AI000055,S005405,SOC305,Sociology Seminar,Prof. Robin Ellis,2024-10-22,Plagiarism,Moderate,Resolved - Sanction Issued,Faculty member reported a suspected case of plagiarism in a submitted assignment.
AI000056,S006038,PSY243,Psychology Fundamentals,Dr. Frank Gray,2024-10-23,Unauthorized Use of AI Tools,Moderate,Resolved - No Violation Found,Student was referred to the Academic Integrity Office for unauthorized use of ai tools.
AI000057,S006806,NUR120,Topics in Nursing,Dr. Jeremy Roberts,2024-10-25,Exam Impersonation,Moderate,Resolved - Sanction Issued,Faculty member reported a suspected case of exam impersonation in a submitted assignment.
AI000058,S002748,NUR126,Nursing Fundamentals,Prof. Daniel Graham,2024-10-28,Exam Impersonation,Moderate,Appealed,"During grading, Prof. Daniel Graham identified indicators consistent with exam impersonation."
AI000059,S003930,CHEM418,Advanced Chemistry,Prof. Erin Herrera,2024-10-31,Plagiarism,Serious,Resolved - Sanction Issued,A case of plagiarism was flagged via the course's academic integrity review process.
AI000060,S003013,MATH234,Principles of Mathematics,Dr. Debra Gardner,2024-11-03,Cheating on Exam,Moderate,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for cheating on exam.
AI000061,S004372,CS157,Advanced Computer Science,Prof. Jeffrey Lawrence,2024-11-05,Unauthorized Materials,Minor,Under Investigation,A case of unauthorized materials was flagged via the course's academic integrity review process.
AI000062,S005034,ME176,Mechanical Engineering Fundamentals,Dr. Whitney Hicks,2024-11-07,Unauthorized Collaboration,Moderate,Resolved - Sanction Issued,Dr. Whitney Hicks submitted a report alleging unauthorized collaboration in ME176.
AI000063,S003802,ENG477,Introduction to English,Prof. Alexander Le,2024-11-10,Unauthorized Collaboration,Moderate,Resolved - Sanction Issued,A case of unauthorized collaboration was flagged via the course's academic integrity review process.
AI000064,S001392,ECON375,Principles of Economics,Prof. Erin Herrera,2024-11-11,Unauthorized Materials,Minor,Under Investigation,Prof. Erin Herrera submitted a report alleging unauthorized materials in ECON375.
AI000065,S005193,MATH132,Advanced Mathematics,Prof. Maria Montgomery,2024-11-11,Cheating on Exam,Minor,Resolved - No Violation Found,"During grading, Prof. Maria Montgomery identified indicators consistent with cheating on exam."
AI000066,S000331,ME218,Mechanical Engineering Fundamentals,Dr. Nicholas Arnold,2024-11-15,Exam Impersonation,Minor,Resolved - Sanction Issued,"During grading, Dr. Nicholas Arnold identified indicators consistent with exam impersonation."
AI000067,S005386,CS485,Topics in Computer Science,Dr. Joshua Walker,2024-11-18,Unauthorized Materials,Minor,Resolved - Sanction Issued,Faculty member reported a suspected case of unauthorized materials in a submitted assignment.
AI000068,S006646,HIST133,History Fundamentals,Prof. Veronica Bowman,2024-11-19,Cheating on Exam,Minor,Resolved - No Violation Found,Student was referred to the Academic Integrity Office for cheating on exam.
AI000069,S003220,NUR475,Principles of Nursing,Prof. Alexander Le,2024-11-20,Contract Cheating,Severe,Appealed,Prof. Alexander Le submitted a report alleging contract cheating in NUR475.
AI000070,S004956,EE111,Electrical Engineering Seminar,Dr. Wendy Rice,2024-11-20,Contract Cheating,Minor,Under Investigation,Dr. Wendy Rice submitted a report alleging contract cheating in EE111.
AI000071,S004865,BUS199,Introduction to Business Administration,Dr. Danielle Johnson,2024-11-21,Cheating on Exam,Moderate,Resolved - No Violation Found,Dr. Danielle Johnson submitted a report alleging cheating on exam in BUS199.
AI000072,S000862,SOC313,Advanced Sociology,Prof. Vincent White,2024-11-21,Contract Cheating,Moderate,Resolved - Sanction Issued,"During grading, Prof. Vincent White identified indicators consistent with contract cheating."
AI000073,S002788,CS331,Computer Science Fundamentals,Prof. Leslie Adams,2024-11-25,Cheating on Exam,Minor,Resolved - No Violation Found,Prof. Leslie Adams submitted a report alleging cheating on exam in CS331.
AI000074,S005844,NUR295,Principles of Nursing,Prof. Alexander Le,2024-11-26,Contract Cheating,Serious,Pending Review,Prof. Alexander Le submitted a report alleging contract cheating in NUR295.
AI000075,S005710,BIO465,Topics in Biology,Prof. Nancy Edwards,2024-11-26,Contract Cheating,Severe,Resolved - Sanction Issued,Faculty member reported a suspected case of contract cheating in a submitted assignment.
AI000076,S006820,EE432,Electrical Engineering Fundamentals,Dr. Joshua Walker,2024-11-28,Plagiarism,Moderate,Under Investigation,A case of plagiarism was flagged via the course's academic integrity review process.
AI000077,S004114,EE415,Principles of Electrical Engineering,Dr. Lindsay Blair,2024-11-28,Exam Impersonation,Minor,Under Investigation,Faculty member reported a suspected case of exam impersonation in a submitted assignment.
AI000078,S008397,BIO338,Topics in Biology,Dr. Matthew Moore,2024-11-28,Unauthorized Use of AI Tools,Serious,Pending Review,Dr. Matthew Moore submitted a report alleging unauthorized use of ai tools in BIO338.
AI000079,S001981,BIO114,Biology Fundamentals,Prof. Maria Montgomery,2024-11-29,Cheating on Exam,Moderate,Pending Review,A case of cheating on exam was flagged via the course's academic integrity review process.
AI000080,S005796,EE396,Electrical Engineering Seminar,Dr. George Daniel,2024-11-30,Cheating on Exam,Minor,Pending Review,A case of cheating on exam was flagged via the course's academic integrity review process.
AI000081,S008628,MATH181,Topics in Mathematics,Dr. Angela Cohen,2024-12-01,Unauthorized Materials,Minor,Resolved - Sanction Issued,Dr. Angela Cohen submitted a report alleging unauthorized materials in MATH181.
AI000082,S007196,CHEM457,Topics in Chemistry,Dr. Shawn Mckay,2024-12-03,Unauthorized Materials,Moderate,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for unauthorized materials.
AI000083,S004479,SOC431,Topics in Sociology,Dr. Melanie Munoz,2024-12-03,Duplicate Submission,Serious,Under Investigation,A case of duplicate submission was flagged via the course's academic integrity review process.
AI000084,S006727,ENG341,Introduction to English,Dr. Jason Hahn,2024-12-03,Fabrication of Data,Moderate,Resolved - Sanction Issued,"During grading, Dr. Jason Hahn identified indicators consistent with fabrication of data."
AI000085,S008757,EE317,Advanced Electrical Engineering,Prof. Nancy Edwards,2024-12-08,Plagiarism,Moderate,Resolved - Sanction Issued,Prof. Nancy Edwards submitted a report alleging plagiarism in EE317.
AI000086,S006708,POL199,Introduction to Political Science,Dr. Tasha Valencia,2024-12-10,Unauthorized Use of AI Tools,Moderate,Pending Review,Student was referred to the Academic Integrity Office for unauthorized use of ai tools.
AI000087,S009192,ME222,Topics in Mechanical Engineering,Dr. Joseph Wright,2024-12-17,Unauthorized Materials,Moderate,Under Investigation,Dr. Joseph Wright submitted a report alleging unauthorized materials in ME222.
AI000088,S001308,PHYS315,Physics Seminar,Prof. Veronica Bowman,2024-12-17,Cheating on Exam,Severe,Under Investigation,Student was referred to the Academic Integrity Office for cheating on exam.
AI000089,S003959,CS362,Topics in Computer Science,Dr. Danielle Johnson,2024-12-21,Exam Impersonation,Minor,Resolved - Sanction Issued,Dr. Danielle Johnson submitted a report alleging exam impersonation in CS362.
AI000090,S005948,CHEM250,Chemistry Fundamentals,Prof. Daniel Graham,2024-12-21,Unauthorized Collaboration,Moderate,Resolved - Sanction Issued,Prof. Daniel Graham submitted a report alleging unauthorized collaboration in CHEM250.
AI000091,S000238,SOC149,Advanced Sociology,Prof. Leslie Adams,2024-12-24,Exam Impersonation,Moderate,Resolved - No Violation Found,A case of exam impersonation was flagged via the course's academic integrity review process.
AI000092,S007866,EE254,Principles of Electrical Engineering,Dr. Debra Gardner,2024-12-25,Unauthorized Materials,Moderate,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for unauthorized materials.
AI000093,S000908,ECON308,Economics Seminar,Dr. Debra Gardner,2024-12-28,Unauthorized Materials,Minor,Pending Review,A case of unauthorized materials was flagged via the course's academic integrity review process.
AI000094,S009867,ENG275,Intermediate English,Prof. Joseph Davidson,2024-12-29,Plagiarism,Serious,Resolved - Sanction Issued,"During grading, Prof. Joseph Davidson identified indicators consistent with plagiarism."
AI000095,S005202,BIO236,Principles of Biology,Dr. Janet Williams,2024-12-30,Unauthorized Materials,Serious,Resolved - Sanction Issued,Faculty member reported a suspected case of unauthorized materials in a submitted assignment.
AI000096,S001473,BUS457,Advanced Business Administration,Prof. Joseph Davidson,2025-01-01,Plagiarism,Serious,Pending Review,"During grading, Prof. Joseph Davidson identified indicators consistent with plagiarism."
AI000097,S004796,ME137,Principles of Mechanical Engineering,Prof. Craig Ramirez,2025-01-03,Fabrication of Data,Moderate,Resolved - Sanction Issued,Prof. Craig Ramirez submitted a report alleging fabrication of data in ME137.
AI000098,S009120,BUS374,Business Administration Seminar,Prof. Maria Montgomery,2025-01-04,Unauthorized Collaboration,Minor,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for unauthorized collaboration.
AI000099,S005341,HIST361,Intermediate History,Dr. Frank Gray,2025-01-06,Unauthorized Use of AI Tools,Serious,Resolved - Sanction Issued,Dr. Frank Gray submitted a report alleging unauthorized use of ai tools in HIST361.
AI000100,S001552,HIST131,Intermediate History,Dr. Matthew Moore,2025-01-06,Unauthorized Collaboration,Serious,Under Investigation,"During grading, Dr. Matthew Moore identified indicators consistent with unauthorized collaboration."
AI000101,S001655,SOC460,Topics in Sociology,Prof. Erin Herrera,2025-01-07,Exam Impersonation,Minor,Resolved - Sanction Issued,Faculty member reported a suspected case of exam impersonation in a submitted assignment.
AI000102,S005117,SOC112,Sociology Seminar,Dr. Susan Rogers,2025-01-08,Contract Cheating,Severe,Resolved - Sanction Issued,A case of contract cheating was flagged via the course's academic integrity review process.
AI000103,S005948,EE444,Electrical Engineering Fundamentals,Prof. Deborah Lynch,2025-01-08,Unauthorized Materials,Moderate,Resolved - Sanction Issued,Faculty member reported a suspected case of unauthorized materials in a submitted assignment.
AI000104,S002011,ME267,Principles of Mechanical Engineering,Prof. Erin Herrera,2025-01-08,Unauthorized Use of AI Tools,Minor,Resolved - Sanction Issued,Prof. Erin Herrera submitted a report alleging unauthorized use of ai tools in ME267.
AI000105,S009677,HIST481,Principles of History,Dr. Reginald Robinson,2025-01-08,Duplicate Submission,Moderate,Pending Review,Faculty member reported a suspected case of duplicate submission in a submitted assignment.
AI000106,S000580,BUS319,Intermediate Business Administration,Dr. Christopher Williams,2025-01-10,Duplicate Submission,Minor,Resolved - Sanction Issued,Dr. Christopher Williams submitted a report alleging duplicate submission in BUS319.
AI000107,S001102,BIO227,Biology Seminar,Dr. Christopher Davis,2025-01-15,Duplicate Submission,Minor,Under Investigation,Faculty member reported a suspected case of duplicate submission in a submitted assignment.
AI000108,S004775,ME295,Mechanical Engineering Fundamentals,Prof. Jill Rhodes,2025-01-17,Fabrication of Data,Minor,Under Investigation,Prof. Jill Rhodes submitted a report alleging fabrication of data in ME295.
AI000109,S005015,ENG173,Topics in English,Dr. Rita Harrell,2025-01-18,Duplicate Submission,Moderate,Under Investigation,Faculty member reported a suspected case of duplicate submission in a submitted assignment.
AI000110,S004239,CS292,Advanced Computer Science,Dr. Robert Johnson,2025-01-18,Contract Cheating,Minor,Resolved - Sanction Issued,A case of contract cheating was flagged via the course's academic integrity review process.
AI000111,S008465,NUR315,Nursing Fundamentals,Prof. Joseph Davidson,2025-01-20,Cheating on Exam,Minor,Resolved - No Violation Found,Faculty member reported a suspected case of cheating on exam in a submitted assignment.
AI000112,S000045,ME258,Topics in Mechanical Engineering,Dr. Mitchell Clark,2025-01-21,Cheating on Exam,Moderate,Resolved - No Violation Found,Student was referred to the Academic Integrity Office for cheating on exam.
AI000113,S002974,CS315,Introduction to Computer Science,Dr. Tasha Valencia,2025-01-23,Unauthorized Materials,Minor,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for unauthorized materials.
AI000114,S002047,SOC189,Topics in Sociology,Dr. Joseph Wright,2025-01-23,Fabrication of Data,Moderate,Resolved - No Violation Found,"During grading, Dr. Joseph Wright identified indicators consistent with fabrication of data."
AI000115,S001325,BUS390,Advanced Business Administration,Dr. Whitney Hicks,2025-01-25,Unauthorized Collaboration,Minor,Appealed,Dr. Whitney Hicks submitted a report alleging unauthorized collaboration in BUS390.
AI000116,S001864,PSY174,Psychology Seminar,Dr. Joseph Zuniga,2025-01-27,Unauthorized Materials,Moderate,Appealed,A case of unauthorized materials was flagged via the course's academic integrity review process.
AI000117,S007991,HIST321,History Seminar,Dr. Jeremy Roberts,2025-01-28,Unauthorized Collaboration,Minor,Pending Review,A case of unauthorized collaboration was flagged via the course's academic integrity review process.
AI000118,S003872,PHYS180,Physics Fundamentals,Prof. Daniel Graham,2025-01-29,Exam Impersonation,Minor,Under Investigation,"During grading, Prof. Daniel Graham identified indicators consistent with exam impersonation."
AI000119,S008915,SOC276,Introduction to Sociology,Prof. Daniel Graham,2025-01-29,Duplicate Submission,Severe,Pending Review,"During grading, Prof. Daniel Graham identified indicators consistent with duplicate submission."
AI000120,S001183,BIO426,Principles of Biology,Prof. Vincent White,2025-01-30,Cheating on Exam,Moderate,Pending Review,Faculty member reported a suspected case of cheating on exam in a submitted assignment.
AI000121,S001183,SOC338,Advanced Sociology,Dr. Joseph Zuniga,2025-01-30,Unauthorized Use of AI Tools,Serious,Resolved - Sanction Issued,Dr. Joseph Zuniga submitted a report alleging unauthorized use of ai tools in SOC338.
AI000122,S006234,BIO392,Intermediate Biology,Dr. Lisa Smith,2025-01-30,Unauthorized Materials,Serious,Pending Review,Dr. Lisa Smith submitted a report alleging unauthorized materials in BIO392.
AI000123,S006002,HIST421,History Fundamentals,Prof. Craig Ramirez,2025-02-02,Contract Cheating,Minor,Resolved - No Violation Found,A case of contract cheating was flagged via the course's academic integrity review process.
AI000124,S008921,CS392,Computer Science Seminar,Dr. Diana Foster,2025-02-04,Unauthorized Materials,Moderate,Resolved - No Violation Found,Dr. Diana Foster submitted a report alleging unauthorized materials in CS392.
AI000125,S002147,POL208,Intermediate Political Science,Prof. Vincent White,2025-02-05,Exam Impersonation,Serious,Resolved - Sanction Issued,"During grading, Prof. Vincent White identified indicators consistent with exam impersonation."
AI000126,S001655,HIST391,Topics in History,Prof. Jeffrey Lawrence,2025-02-08,Fabrication of Data,Serious,Resolved - No Violation Found,Prof. Jeffrey Lawrence submitted a report alleging fabrication of data in HIST391.
AI000127,S006664,EE464,Electrical Engineering Seminar,Dr. Christopher Davis,2025-02-09,Duplicate Submission,Minor,Resolved - Sanction Issued,"During grading, Dr. Christopher Davis identified indicators consistent with duplicate submission."
AI000128,S008031,MATH332,Advanced Mathematics,Dr. Robert Johnson,2025-02-10,Unauthorized Use of AI Tools,Moderate,Resolved - Sanction Issued,Faculty member reported a suspected case of unauthorized use of ai tools in a submitted assignment.
AI000129,S006624,CS445,Computer Science Fundamentals,Prof. Joseph Davidson,2025-02-12,Fabrication of Data,Minor,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for fabrication of data.
AI000130,S006147,PSY374,Intermediate Psychology,Prof. Leslie Adams,2025-02-14,Unauthorized Collaboration,Minor,Resolved - Sanction Issued,Student was referred to the Academic Integrity Office for unauthorized collaboration.
AI000131,S001177,BIO231,Biology Seminar,Dr. Frank Gray,2025-02-15,Exam Impersonation,Moderate,Resolved - Sanction Issued,Dr. Frank Gray submitted a report alleging exam impersonation in BIO231.
AI000132,S004582,ECON140,Advanced Economics,Prof. Amanda Dudley,2025-02-15,Plagiarism,Minor,Resolved - No Violation Found,Student was referred to the Academic Integrity Office for plagiarism.
AI000133,S003507,CHEM403,Chemistry Seminar,Prof. Christopher Hall,2025-02-15,Unauthorized Collaboration,Serious,Appealed,A case of unauthorized collaboration was flagged via the course's academic integrity review process.
AI000134,S009103,ME406,Principles of Mechanical Engineering,Prof. Megan Parsons,2025-02-18,Cheating on Exam,Moderate,Pending Review,"During grading, Prof. Megan Parsons identified indicators consistent with cheating on exam."
AI000135,S006889,POL175,Political Science Fundamentals,Dr. Melanie Munoz,2025-02-19,Plagiarism,Moderate,Pending Review,Faculty member reported a suspected case of plagiarism in a submitted assignment.
AI000136,S008071,HIST218,Topics in History,Prof. Jill Rhodes,2025-02-19,Unauthorized Use of AI Tools,Moderate,Resolved - Sanction Issued,A case of unauthorized use of ai tools was flagged via the course's academic integrity review process.
AI000137,S005099,PHYS376,Advanced Physics,Dr. Angela Cohen,2025-02-20,Cheating on Exam,Minor,Resolved - Sanction Issued,A case of cheating on exam was flagged via the course's academic integrity review process.
AI000138,S005115,EE127,Introduction to Electrical Engineering,Dr. Debra Gardner,2025-02-20,Duplicate Submission,Minor,Resolved - Sanction Issued,Dr. Debra Gardner submitted a report alleging duplicate submission in EE127.
AI000139,S008126,EE309,Topics in Electrical Engineering,Prof. Craig Ramirez,2025-02-23,Unauthorized Collaboration,Minor,Under Investigation,"During grading, Prof. Craig Ramirez identified indicators consistent with unauthorized collaboration."
AI000140,S002315,CHEM127,Intermediate Chemistry,Dr. Jeffery Wagner,2025-02-23,Exam Impersonation,Minor,Under Investigation,A case of exam impersonation was flagged via the course's academic integrity review process.
AI000141,S009427,ECON466,Intermediate Economics,Prof. Jeffrey Lawrence,2025-02-23,Duplicate Submission,Severe,Resolved - Sanction Issued,A case of duplicate submission was flagged via the course's academic integrity review process.
