report_id,student_id,incident_date,location,incident_type,severity,status,narrative
CS000026,S008812,2024-08-19,Cedar Crest Hall,Drug Policy Violation,Low,Closed,Reporting officer responded to Cedar Crest Hall regarding a drug policy violation involving the listed student.
CS000027,S001960,2024-08-19,Cedar Crest Hall,Suspicious Activity,Low,Closed,A suspicious activity was observed and documented at Cedar Crest Hall.
CS000028,S009571,2024-08-21,Meadowbrook Hall,Weapons Policy Violation,Low,Closed,Campus Safety was dispatched to Meadowbrook Hall after a report of weapons policy violation.
CS000029,S004529,2024-08-22,Fine Arts Center,Vandalism,High,Closed,Incident occurred at Fine Arts Center. Responding staff documented a vandalism.
CS000030,S003856,2024-08-22,Stadium,Drug Policy Violation,High,Closed,Incident occurred at Stadium. Responding staff documented a drug policy violation.
CS000031,S009189,2024-08-23,Aspen Court,Medical Emergency,Low,Closed,Student was involved in a medical emergency reported near Aspen Court.
CS000032,S006650,2024-08-24,Stadium,Trespassing,Medium,Closed,A trespassing was observed and documented at Stadium.
CS000033,S004805,2024-08-24,Cedar Crest Hall,Theft,Low,Closed,Reporting officer responded to Cedar Crest Hall regarding a theft involving the listed student.
CS000034,S001931,2024-08-27,Summit House,Medical Emergency,Low,Under Investigation,A medical emergency was observed and documented at Summit House.
CS000035,S000034,2024-08-27,Stadium,Medical Emergency,Low,Closed,Incident occurred at Stadium. Responding staff documented a medical emergency.
CS000036,S004396,2024-08-27,Founders Hall,Fire Alarm Activation,Medium,Closed,Campus Safety was dispatched to Founders Hall after a report of fire alarm activation.
CS000037,S008906,2024-08-29,Science Building,Harassment,Medium,Closed,Incident occurred at Science Building. Responding staff documented a harassment.
CS000038,S006557,2024-08-30,Bike Path,Disorderly Conduct,Medium,Closed,A disorderly conduct was observed and documented at Bike Path.
CS000039,S008239,2024-08-31,Science Building,Trespassing,High,Under Investigation,Incident occurred at Science Building. Responding staff documented a trespassing.
CS000040,S009891,2024-08-31,Harborview Hall,Vandalism,Low,Open,Student was involved in a vandalism reported near Harborview Hall.
CS000041,S003759,2024-08-31,Bellview Hall,Trespassing,Critical,Closed,A trespassing was observed and documented at Bellview Hall.
CS000042,S009145,2024-09-01,Recreation Center,Fire Alarm Activation,Medium,Closed,A fire alarm activation was observed and documented at Recreation Center.
CS000043,S008594,2024-09-01,Willow Creek Hall,Theft,High,Closed,Campus Safety was dispatched to Willow Creek Hall after a report of theft.
CS000044,S005430,2024-09-04,Library,Harassment,Low,Closed,Student was involved in a harassment reported near Library.
CS000045,S009206,2024-09-05,Summit House,Medical Emergency,Low,Closed,A medical emergency was observed and documented at Summit House.
CS000046,S007440,2024-09-08,Student Union,Medical Emergency,High,Referred to Conduct Board,Incident occurred at Student Union. Responding staff documented a medical emergency.
CS000047,S000034,2024-09-08,Lakeside Terrace,Theft,Low,Open,Campus Safety was dispatched to Lakeside Terrace after a report of theft.
CS000048,S009739,2024-09-08,Birchwood Hall,Suspicious Activity,Low,Under Investigation,Campus Safety was dispatched to Birchwood Hall after a report of suspicious activity.
CS000049,S009675,2024-09-09,Aspen Court,Weapons Policy Violation,Low,Referred to Conduct Board,Student was involved in a weapons policy violation reported near Aspen Court.
CS000050,S009011,2024-09-10,Bike Path,Weapons Policy Violation,High,Open,A weapons policy violation was observed and documented at Bike Path.
CS000051,S003242,2024-09-11,Northgate Hall,Disorderly Conduct,Low,Referred to Conduct Board,Student was involved in a disorderly conduct reported near Northgate Hall.
CS000052,S005392,2024-09-11,Summit House,Vandalism,Low,Closed,A vandalism was observed and documented at Summit House.
CS000053,S000741,2024-09-11,Student Union,Trespassing,Medium,Referred to Conduct Board,Student was involved in a trespassing reported near Student Union.
CS000054,S008232,2024-09-11,Founders Hall,Harassment,Low,Under Investigation,A harassment was observed and documented at Founders Hall.
CS000055,S001322,2024-09-12,Cedar Crest Hall,Alcohol Policy Violation,Low,Under Investigation,Reporting officer responded to Cedar Crest Hall regarding a alcohol policy violation involving the listed student.
CS000056,S002624,2024-09-12,Lakeside Terrace,Vandalism,Low,Closed,Student was involved in a vandalism reported near Lakeside Terrace.
CS000057,S008305,2024-09-12,Bellview Hall,Harassment,Low,Closed,Incident occurred at Bellview Hall. Responding staff documented a harassment.
CS000058,S005607,2024-09-16,Riverbend Hall,Drug Policy Violation,Low,Closed,Campus Safety was dispatched to Riverbend Hall after a report of drug policy violation.
CS000059,S005049,2024-09-16,Science Building,Theft,High,Closed,Reporting officer responded to Science Building regarding a theft involving the listed student.
CS000060,S002793,2024-09-16,Library,Alcohol Policy Violation,High,Closed,Reporting officer responded to Library regarding a alcohol policy violation involving the listed student.
CS000061,S007720,2024-09-19,Highland Hall,Disorderly Conduct,Critical,Closed,Student was involved in a disorderly conduct reported near Highland Hall.
CS000062,S007535,2024-09-19,Engineering Annex,Fire Alarm Activation,Medium,Closed,Incident occurred at Engineering Annex. Responding staff documented a fire alarm activation.
CS000063,S001389,2024-09-19,Science Building,Vandalism,Low,Referred to Conduct Board,Campus Safety was dispatched to Science Building after a report of vandalism.
CS000064,S000928,2024-09-24,Sunrise Commons,Weapons Policy Violation,Low,Closed,Reporting officer responded to Sunrise Commons regarding a weapons policy violation involving the listed student.
CS000065,S007580,2024-09-25,Bellview Hall,Fire Alarm Activation,Medium,Closed,Campus Safety was dispatched to Bellview Hall after a report of fire alarm activation.
CS000066,S006947,2024-09-26,Sunrise Commons,Harassment,Medium,Open,Reporting officer responded to Sunrise Commons regarding a harassment involving the listed student.
CS000067,S008034,2024-09-26,Bike Path,Weapons Policy Violation,Low,Closed,Incident occurred at Bike Path. Responding staff documented a weapons policy violation.
CS000068,S008648,2024-09-27,Highland Hall,Alcohol Policy Violation,Medium,Closed,Reporting officer responded to Highland Hall regarding a alcohol policy violation involving the listed student.
CS000069,S004366,2024-09-28,Off-Campus Housing,Medical Emergency,Low,Open,Reporting officer responded to Off-Campus Housing regarding a medical emergency involving the listed student.
CS000070,S004921,2024-09-29,Founders Hall,Physical Altercation,Medium,Closed,A physical altercation was observed and documented at Founders Hall.
CS000071,S005819,2024-09-29,Riverbend Hall,Fire Alarm Activation,High,Under Investigation,Campus Safety was dispatched to Riverbend Hall after a report of fire alarm activation.
CS000072,S009040,2024-10-01,Willow Creek Hall,Vandalism,Low,Closed,Incident occurred at Willow Creek Hall. Responding staff documented a vandalism.
CS000073,S009646,2024-10-01,Lakeside Terrace,Medical Emergency,Low,Closed,Reporting officer responded to Lakeside Terrace regarding a medical emergency involving the listed student.
CS000074,S008556,2024-10-01,Meadowbrook Hall,Harassment,Low,Under Investigation,Student was involved in a harassment reported near Meadowbrook Hall.
CS000075,S002139,2024-10-01,Founders Hall,Trespassing,Low,Under Investigation,Reporting officer responded to Founders Hall regarding a trespassing involving the listed student.
CS000076,S008944,2024-10-02,Birchwood Hall,Medical Emergency,Low,Closed,A medical emergency was observed and documented at Birchwood Hall.
CS000077,S003230,2024-10-03,West Parking Garage,Vandalism,Low,Closed,Reporting officer responded to West Parking Garage regarding a vandalism involving the listed student.
CS000078,S002397,2024-10-04,East Lot,Harassment,Low,Open,A harassment was observed and documented at East Lot.
CS000079,S001330,2024-10-06,Highland Hall,Physical Altercation,Low,Under Investigation,A physical altercation was observed and documented at Highland Hall.
CS000080,S001701,2024-10-06,Main Quad,Medical Emergency,Low,Closed,Incident occurred at Main Quad. Responding staff documented a medical emergency.
CS000081,S004555,2024-10-07,Highland Hall,Medical Emergency,Medium,Closed,Student was involved in a medical emergency reported near Highland Hall.
CS000082,S001206,2024-10-08,Meadowbrook Hall,Suspicious Activity,Medium,Closed,Student was involved in a suspicious activity reported near Meadowbrook Hall.
CS000083,S003166,2024-10-08,Founders Hall,Trespassing,Medium,Closed,Campus Safety was dispatched to Founders Hall after a report of trespassing.
CS000084,S009550,2024-10-10,Summit House,Vandalism,Critical,Closed,Reporting officer responded to Summit House regarding a vandalism involving the listed student.
CS000085,S009718,2024-10-12,Sunrise Commons,Harassment,Medium,Open,Incident occurred at Sunrise Commons. Responding staff documented a harassment.
CS000086,S009805,2024-10-12,Bike Path,Noise Complaint,Low,Closed,Incident occurred at Bike Path. Responding staff documented a noise complaint.
CS000087,S004625,2024-10-15,Recreation Center,Noise Complaint,Medium,Closed,Reporting officer responded to Recreation Center regarding a noise complaint involving the listed student.
CS000088,S004805,2024-10-15,Recreation Center,Fire Alarm Activation,Low,Closed,Student was involved in a fire alarm activation reported near Recreation Center.
CS000089,S002051,2024-10-15,Fine Arts Center,Trespassing,Low,Referred to Conduct Board,Campus Safety was dispatched to Fine Arts Center after a report of trespassing.
CS000090,S008101,2024-10-16,Off-Campus Housing,Vandalism,High,Open,Student was involved in a vandalism reported near Off-Campus Housing.
CS000091,S008931,2024-10-19,Maple Ridge Hall,Disorderly Conduct,Low,Closed,Incident occurred at Maple Ridge Hall. Responding staff documented a disorderly conduct.
CS000092,S000005,2024-10-19,Recreation Center,Vandalism,High,Referred to Conduct Board,Incident occurred at Recreation Center. Responding staff documented a vandalism.
CS000093,S008138,2024-10-19,West Parking Garage,Harassment,High,Closed,Reporting officer responded to West Parking Garage regarding a harassment involving the listed student.
CS000094,S008960,2024-10-21,Maple Ridge Hall,Physical Altercation,Low,Closed,Incident occurred at Maple Ridge Hall. Responding staff documented a physical altercation.
CS000095,S008163,2024-10-21,Aspen Court,Suspicious Activity,High,Closed,Reporting officer responded to Aspen Court regarding a suspicious activity involving the listed student.
CS000096,S002014,2024-10-23,Summit House,Disorderly Conduct,Low,Open,Campus Safety was dispatched to Summit House after a report of disorderly conduct.
CS000097,S003557,2024-10-23,Engineering Annex,Alcohol Policy Violation,Low,Closed,Student was involved in a alcohol policy violation reported near Engineering Annex.
CS000098,S008490,2024-10-25,Fine Arts Center,Disorderly Conduct,Low,Closed,Campus Safety was dispatched to Fine Arts Center after a report of disorderly conduct.
CS000099,S009522,2024-10-26,Engineering Annex,Noise Complaint,Low,Closed,Student was involved in a noise complaint reported near Engineering Annex.
CS000100,S006647,2024-10-27,Birchwood Hall,Medical Emergency,Medium,Closed,A medical emergency was observed and documented at Birchwood Hall.
CS000101,S003945,2024-10-27,Maple Ridge Hall,Alcohol Policy Violation,High,Referred to Conduct Board,A alcohol policy violation was observed and documented at Maple Ridge Hall.
CS000102,S004448,2024-10-28,Highland Hall,Trespassing,Medium,Open,Campus Safety was dispatched to Highland Hall after a report of trespassing.
CS000103,S002976,2024-10-30,West Parking Garage,Alcohol Policy Violation,Medium,Referred to Conduct Board,Campus Safety was dispatched to West Parking Garage after a report of alcohol policy violation.
CS000104,S001427,2024-10-30,Meadowbrook Hall,Noise Complaint,Medium,Closed,Student was involved in a noise complaint reported near Meadowbrook Hall.
CS000105,S000294,2024-10-31,Northgate Hall,Theft,Medium,Closed,Reporting officer responded to Northgate Hall regarding a theft involving the listed student.
CS000106,S000444,2024-11-02,Highland Hall,Theft,Critical,Closed,Incident occurred at Highland Hall. Responding staff documented a theft.
CS000107,S009301,2024-11-03,Maple Ridge Hall,Theft,Medium,Closed,A theft was observed and documented at Maple Ridge Hall.
CS000108,S000619,2024-11-05,Fine Arts Center,Noise Complaint,Low,Closed,A noise complaint was observed and documented at Fine Arts Center.
CS000109,S009663,2024-11-05,Founders Hall,Theft,Low,Closed,Campus Safety was dispatched to Founders Hall after a report of theft.
CS000110,S005215,2024-11-07,Northgate Hall,Noise Complaint,Medium,Closed,A noise complaint was observed and documented at Northgate Hall.
CS000111,S005687,2024-11-08,Fine Arts Center,Alcohol Policy Violation,Low,Closed,A alcohol policy violation was observed and documented at Fine Arts Center.
CS000112,S002061,2024-11-09,Maple Ridge Hall,Suspicious Activity,Low,Closed,A suspicious activity was observed and documented at Maple Ridge Hall.
CS000113,S005596,2024-11-09,Fine Arts Center,Medical Emergency,Low,Closed,Incident occurred at Fine Arts Center. Responding staff documented a medical emergency.
CS000114,S008679,2024-11-09,Lakeside Terrace,Harassment,Low,Closed,Reporting officer responded to Lakeside Terrace regarding a harassment involving the listed student.
CS000115,S001610,2024-11-09,Birchwood Hall,Weapons Policy Violation,High,Closed,Reporting officer responded to Birchwood Hall regarding a weapons policy violation involving the listed student.
CS000116,S008093,2024-11-10,Aspen Court,Fire Alarm Activation,Medium,Open,Reporting officer responded to Aspen Court regarding a fire alarm activation involving the listed student.
CS000117,S006252,2024-11-10,Cedar Crest Hall,Physical Altercation,Medium,Closed,Incident occurred at Cedar Crest Hall. Responding staff documented a physical altercation.
CS000118,S004848,2024-11-10,Cedar Crest Hall,Alcohol Policy Violation,Medium,Closed,Student was involved in a alcohol policy violation reported near Cedar Crest Hall.
CS000119,S001767,2024-11-11,Riverbend Hall,Fire Alarm Activation,Medium,Referred to Conduct Board,Incident occurred at Riverbend Hall. Responding staff documented a fire alarm activation.
CS000120,S007845,2024-11-11,Highland Hall,Weapons Policy Violation,Low,Closed,A weapons policy violation was observed and documented at Highland Hall.
CS000121,S008886,2024-11-12,Harborview Hall,Fire Alarm Activation,Low,Closed,A fire alarm activation was observed and documented at Harborview Hall.
CS000122,S003493,2024-11-12,Willow Creek Hall,Alcohol Policy Violation,Medium,Closed,Incident occurred at Willow Creek Hall. Responding staff documented a alcohol policy violation.
CS000123,S003095,2024-11-13,Meadowbrook Hall,Fire Alarm Activation,Low,Closed,Incident occurred at Meadowbrook Hall. Responding staff documented a fire alarm activation.
CS000124,S009440,2024-11-13,Library,Fire Alarm Activation,Low,Closed,A fire alarm activation was observed and documented at Library.
CS000125,S004806,2024-11-16,Willow Creek Hall,Noise Complaint,Low,Closed,Student was involved in a noise complaint reported near Willow Creek Hall.
CS000126,S004008,2024-11-17,Cedar Crest Hall,Harassment,High,Closed,Student was involved in a harassment reported near Cedar Crest Hall.
CS000127,S002014,2024-11-17,Maple Ridge Hall,Noise Complaint,Critical,Referred to Conduct Board,Reporting officer responded to Maple Ridge Hall regarding a noise complaint involving the listed student.
CS000128,S002513,2024-11-18,Founders Hall,Disorderly Conduct,Low,Closed,Incident occurred at Founders Hall. Responding staff documented a disorderly conduct.
CS000129,S007968,2024-11-20,Maple Ridge Hall,Fire Alarm Activation,Medium,Closed,Student was involved in a fire alarm activation reported near Maple Ridge Hall.
CS000130,S007444,2024-11-21,Engineering Annex,Suspicious Activity,Low,Closed,Campus Safety was dispatched to Engineering Annex after a report of suspicious activity.
CS000131,S009489,2024-11-22,Lakeside Terrace,Drug Policy Violation,Low,Closed,Reporting officer responded to Lakeside Terrace regarding a drug policy violation involving the listed student.
CS000132,S007479,2024-11-22,Founders Hall,Alcohol Policy Violation,Low,Under Investigation,Student was involved in a alcohol policy violation reported near Founders Hall.
CS000133,S008528,2024-11-23,Library,Alcohol Policy Violation,Low,Closed,Incident occurred at Library. Responding staff documented a alcohol policy violation.
CS000134,S009487,2024-11-24,Highland Hall,Vandalism,Medium,Closed,Student was involved in a vandalism reported near Highland Hall.
CS000135,S002124,2024-11-24,Student Union,Noise Complaint,Low,Under Investigation,Student was involved in a noise complaint reported near Student Union.
CS000136,S001966,2024-11-25,Fine Arts Center,Medical Emergency,Medium,Closed,Incident occurred at Fine Arts Center. Responding staff documented a medical emergency.
CS000137,S006665,2024-11-26,Recreation Center,Suspicious Activity,Low,Closed,Campus Safety was dispatched to Recreation Center after a report of suspicious activity.
CS000138,S007860,2024-11-28,Engineering Annex,Drug Policy Violation,Low,Closed,Student was involved in a drug policy violation reported near Engineering Annex.
CS000139,S002014,2024-11-30,Sunrise Commons,Suspicious Activity,Low,Closed,A suspicious activity was observed and documented at Sunrise Commons.
CS000140,S002824,2024-12-01,Stadium,Drug Policy Violation,High,Open,Incident occurred at Stadium. Responding staff documented a drug policy violation.
CS000141,S007181,2024-12-01,Cedar Crest Hall,Theft,Medium,Referred to Conduct Board,A theft was observed and documented at Cedar Crest Hall.
CS000142,S007267,2024-12-03,East Lot,Alcohol Policy Violation,High,Closed,Incident occurred at East Lot. Responding staff documented a alcohol policy violation.
CS000143,S001664,2024-12-03,Library,Theft,Medium,Referred to Conduct Board,Reporting officer responded to Library regarding a theft involving the listed student.
CS000144,S006094,2024-12-03,Bellview Hall,Noise Complaint,High,Closed,Reporting officer responded to Bellview Hall regarding a noise complaint involving the listed student.
CS000145,S005687,2024-12-04,Sunrise Commons,Alcohol Policy Violation,Medium,Closed,Campus Safety was dispatched to Sunrise Commons after a report of alcohol policy violation.
CS000146,S003793,2024-12-04,Recreation Center,Theft,Low,Referred to Conduct Board,Incident occurred at Recreation Center. Responding staff documented a theft.
CS000147,S001980,2024-12-05,Engineering Annex,Harassment,Low,Closed,Reporting officer responded to Engineering Annex regarding a harassment involving the listed student.
CS000148,S007520,2024-12-07,Main Quad,Noise Complaint,Low,Closed,Student was involved in a noise complaint reported near Main Quad.
CS000149,S009489,2024-12-07,Birchwood Hall,Drug Policy Violation,Low,Open,Campus Safety was dispatched to Birchwood Hall after a report of drug policy violation.
CS000150,S008717,2024-12-07,Main Quad,Theft,Low,Open,Incident occurred at Main Quad. Responding staff documented a theft.
CS000151,S000773,2024-12-15,Fine Arts Center,Suspicious Activity,Low,Closed,Campus Safety was dispatched to Fine Arts Center after a report of suspicious activity.
CS000152,S008671,2024-12-17,Maple Ridge Hall,Disorderly Conduct,Low,Closed,Incident occurred at Maple Ridge Hall. Responding staff documented a disorderly conduct.
CS000153,S007438,2024-12-21,Library,Disorderly Conduct,Low,Closed,Campus Safety was dispatched to Library after a report of disorderly conduct.
CS000154,S001210,2024-12-22,Bellview Hall,Drug Policy Violation,Medium,Referred to Conduct Board,A drug policy violation was observed and documented at Bellview Hall.
CS000155,S003111,2024-12-25,Student Union,Suspicious Activity,High,Under Investigation,Campus Safety was dispatched to Student Union after a report of suspicious activity.
CS000156,S003150,2024-12-26,Riverbend Hall,Weapons Policy Violation,Medium,Closed,Incident occurred at Riverbend Hall. Responding staff documented a weapons policy violation.
CS000157,S008926,2024-12-27,Fine Arts Center,Suspicious Activity,Low,Referred to Conduct Board,A suspicious activity was observed and documented at Fine Arts Center.
CS000158,S002259,2024-12-27,Lakeside Terrace,Fire Alarm Activation,Low,Referred to Conduct Board,Campus Safety was dispatched to Lakeside Terrace after a report of fire alarm activation.
CS000159,S000518,2024-12-30,Student Union,Trespassing,Critical,Under Investigation,Student was involved in a trespassing reported near Student Union.
CS000160,S005659,2024-12-30,Riverbend Hall,Harassment,High,Closed,Incident occurred at Riverbend Hall. Responding staff documented a harassment.
CS000161,S000484,2024-12-31,Sunrise Commons,Suspicious Activity,Medium,Under Investigation,Student was involved in a suspicious activity reported near Sunrise Commons.
CS000162,S003567,2025-01-01,Main Quad,Alcohol Policy Violation,Low,Referred to Conduct Board,Campus Safety was dispatched to Main Quad after a report of alcohol policy violation.
CS000163,S004049,2025-01-04,Student Union,Weapons Policy Violation,Medium,Closed,Incident occurred at Student Union. Responding staff documented a weapons policy violation.
CS000164,S005871,2025-01-04,Off-Campus Housing,Noise Complaint,Medium,Closed,Reporting officer responded to Off-Campus Housing regarding a noise complaint involving the listed student.
CS000165,S000296,2025-01-05,Aspen Court,Fire Alarm Activation,Low,Referred to Conduct Board,Incident occurred at Aspen Court. Responding staff documented a fire alarm activation.
CS000166,S002069,2025-01-05,Birchwood Hall,Vandalism,Critical,Closed,Campus Safety was dispatched to Birchwood Hall after a report of vandalism.
CS000167,S009882,2025-01-06,Student Union,Disorderly Conduct,Medium,Closed,Reporting officer responded to Student Union regarding a disorderly conduct involving the listed student.
CS000168,S001057,2025-01-06,Sunrise Commons,Drug Policy Violation,Low,Closed,Incident occurred at Sunrise Commons. Responding staff documented a drug policy violation.
CS000169,S007763,2025-01-07,Bellview Hall,Harassment,Low,Closed,Campus Safety was dispatched to Bellview Hall after a report of harassment.
CS000170,S000847,2025-01-07,Willow Creek Hall,Noise Complaint,Low,Closed,Campus Safety was dispatched to Willow Creek Hall after a report of noise complaint.
CS000171,S007410,2025-01-10,Stadium,Fire Alarm Activation,Low,Closed,Reporting officer responded to Stadium regarding a fire alarm activation involving the listed student.
CS000172,S000546,2025-01-10,Cedar Crest Hall,Weapons Policy Violation,Medium,Closed,Campus Safety was dispatched to Cedar Crest Hall after a report of weapons policy violation.
CS000173,S002513,2025-01-13,Founders Hall,Drug Policy Violation,Medium,Under Investigation,A drug policy violation was observed and documented at Founders Hall.
CS000174,S002463,2025-01-13,Fine Arts Center,Disorderly Conduct,Low,Open,Campus Safety was dispatched to Fine Arts Center after a report of disorderly conduct.
CS000175,S009007,2025-01-14,Recreation Center,Harassment,Low,Closed,Campus Safety was dispatched to Recreation Center after a report of harassment.
CS000176,S003917,2025-01-14,Main Quad,Fire Alarm Activation,Low,Closed,Campus Safety was dispatched to Main Quad after a report of fire alarm activation.
CS000177,S004142,2025-01-15,Off-Campus Housing,Disorderly Conduct,Low,Closed,Incident occurred at Off-Campus Housing. Responding staff documented a disorderly conduct.
CS000178,S005687,2025-01-15,Cedar Crest Hall,Disorderly Conduct,High,Under Investigation,A disorderly conduct was observed and documented at Cedar Crest Hall.
CS000179,S006604,2025-01-15,Meadowbrook Hall,Weapons Policy Violation,Critical,Open,Reporting officer responded to Meadowbrook Hall regarding a weapons policy violation involving the listed student.
CS000180,S005926,2025-01-16,East Lot,Physical Altercation,Low,Closed,Incident occurred at East Lot. Responding staff documented a physical altercation.
CS000181,S000467,2025-01-16,Bike Path,Fire Alarm Activation,High,Under Investigation,Reporting officer responded to Bike Path regarding a fire alarm activation involving the listed student.
CS000182,S004625,2025-01-17,Student Union,Physical Altercation,High,Closed,Student was involved in a physical altercation reported near Student Union.
CS000183,S007183,2025-01-17,Bellview Hall,Trespassing,Low,Closed,A trespassing was observed and documented at Bellview Hall.
CS000184,S003202,2025-01-18,Lakeside Terrace,Disorderly Conduct,High,Under Investigation,Incident occurred at Lakeside Terrace. Responding staff documented a disorderly conduct.
CS000185,S009805,2025-01-18,Recreation Center,Suspicious Activity,Medium,Closed,A suspicious activity was observed and documented at Recreation Center.
CS000186,S004481,2025-01-18,Northgate Hall,Fire Alarm Activation,Medium,Closed,Reporting officer responded to Northgate Hall regarding a fire alarm activation involving the listed student.
CS000187,S007763,2025-01-19,Meadowbrook Hall,Disorderly Conduct,Medium,Closed,Student was involved in a disorderly conduct reported near Meadowbrook Hall.
CS000188,S001380,2025-01-21,Science Building,Physical Altercation,Low,Open,Student was involved in a physical altercation reported near Science Building.
CS000189,S006770,2025-01-22,Recreation Center,Medical Emergency,Low,Closed,Reporting officer responded to Recreation Center regarding a medical emergency involving the listed student.
CS000190,S003891,2025-01-23,Aspen Court,Drug Policy Violation,Low,Closed,A drug policy violation was observed and documented at Aspen Court.
CS000191,S006425,2025-01-24,West Parking Garage,Noise Complaint,Low,Closed,Incident occurred at West Parking Garage. Responding staff documented a noise complaint.
CS000192,S000641,2025-01-25,Northgate Hall,Harassment,Medium,Closed,Reporting officer responded to Northgate Hall regarding a harassment involving the listed student.
CS000193,S008491,2025-01-27,Meadowbrook Hall,Harassment,Medium,Closed,Campus Safety was dispatched to Meadowbrook Hall after a report of harassment.
CS000194,S002583,2025-01-29,Student Union,Vandalism,Low,Open,Campus Safety was dispatched to Student Union after a report of vandalism.
CS000195,S007431,2025-01-29,Recreation Center,Drug Policy Violation,Low,Under Investigation,Reporting officer responded to Recreation Center regarding a drug policy violation involving the listed student.
CS000196,S003174,2025-01-29,East Lot,Alcohol Policy Violation,Medium,Closed,Student was involved in a alcohol policy violation reported near East Lot.
CS000197,S001701,2025-01-31,Library,Alcohol Policy Violation,Medium,Under Investigation,Campus Safety was dispatched to Library after a report of alcohol policy violation.
CS000198,S009189,2025-01-31,Library,Vandalism,Medium,Closed,Campus Safety was dispatched to Library after a report of vandalism.
CS000199,S004051,2025-02-01,Science Building,Trespassing,Medium,Closed,Campus Safety was dispatched to Science Building after a report of trespassing.
CS000200,S001956,2025-02-01,Riverbend Hall,Vandalism,High,Closed,Reporting officer responded to Riverbend Hall regarding a vandalism involving the listed student.
CS000201,S004341,2025-02-03,Main Quad,Medical Emergency,Low,Closed,Campus Safety was dispatched to Main Quad after a report of medical emergency.
CS000202,S002761,2025-02-04,Founders Hall,Physical Altercation,High,Closed,A physical altercation was observed and documented at Founders Hall.
CS000203,S007571,2025-02-06,Aspen Court,Theft,Low,Referred to Conduct Board,Student was involved in a theft reported near Aspen Court.
CS000204,S008769,2025-02-07,Main Quad,Noise Complaint,Low,Open,Student was involved in a noise complaint reported near Main Quad.
