housing_id,student_id,residence_hall,room_number,move_in_date,move_out_date,housing_status
H000069,S008318,Riverbend Hall,175,2024-11-11,2025-01-24,Moved Out
H000070,S009698,Aspen Court,164,2024-08-23,2024-12-26,Moved Out
H000071,S002479,Riverbend Hall,547,2023-12-07,2024-02-10,Moved Out
H000072,S004165,Meadowbrook Hall,193,2024-06-29,2025-02-22,Moved Out
H000073,S002709,Highland Hall,237,2025-01-20,,Active
H000074,S009432,Founders Hall,146,2023-08-24,,Active
H000075,S004508,Summit House,297,2025-12-10,2026-03-07,Moved Out
H000076,S008503,Highland Hall,180,2026-07-13,,Active
H000077,S007379,Cedar Crest Hall,253,2024-07-11,,Active
H000078,S006272,Sunrise Commons,412,2023-10-29,,Active
H000079,S002351,Bellview Hall,454,2024-11-29,2025-06-11,Moved Out
H000080,S007095,Maple Ridge Hall,321,2026-06-21,,Active
H000081,S009042,Summit House,165,2026-07-22,,Active
H000082,S009685,Maple Ridge Hall,577,2025-02-15,2025-09-01,Moved Out
H000083,S008617,Northgate Hall,121,2026-04-26,,Active
H000084,S005410,Willow Creek Hall,524,2024-04-02,2024-06-08,Moved Out
H000085,S006064,Summit House,276,2026-02-16,2026-08-15,Moved Out
H000086,S005643,Summit House,297,2024-02-07,,Active
H000087,S005494,Founders Hall,265,2024-07-22,2024-12-11,Moved Out
H000088,S001517,Meadowbrook Hall,187,2023-11-02,2024-01-16,Moved Out
H000089,S001999,Bellview Hall,552,2023-10-31,,Active
H000090,S003665,Aspen Court,482,2025-02-03,,Active
H000091,S005226,Maple Ridge Hall,361,2024-04-10,2024-12-26,Moved Out
H000092,S005730,Sunrise Commons,231,2025-09-12,,Active
H000093,S007704,Meadowbrook Hall,148,2024-10-25,,Active
H000094,S001784,Founders Hall,503,2026-03-28,2026-08-20,Moved Out
H000095,S006301,Harborview Hall,274,2025-03-19,2026-01-05,Moved Out
H000096,S007644,Aspen Court,426,2026-04-02,,Active
H000097,S000589,Highland Hall,101,2023-09-28,2024-06-04,Moved Out
H000098,S001971,Lakeside Terrace,538,2025-03-17,2025-06-08,Moved Out
H000099,S004467,Sunrise Commons,187,2024-04-18,,Active
H000100,S008620,Bellview Hall,227,2024-09-03,2025-06-07,Moved Out
H000101,S000487,Bellview Hall,455,2024-01-27,2024-07-20,Moved Out
H000102,S005585,Highland Hall,153,2025-09-06,,Active
H000103,S003174,Bellview Hall,467,2025-01-15,,Active
H000104,S003210,Willow Creek Hall,345,2026-03-25,2026-08-13,Moved Out
H000105,S009778,Birchwood Hall,502,2025-03-27,,Active
H000106,S006250,Highland Hall,175,2025-06-17,2026-01-20,Moved Out
H000107,S000340,Sunrise Commons,487,2024-11-19,,Active
H000108,S003373,Cedar Crest Hall,364,2025-09-11,,Active
H000109,S008035,Sunrise Commons,253,2025-08-07,,Active
H000110,S002095,Highland Hall,152,2026-07-27,,Active
H000111,S002071,Willow Creek Hall,276,2025-02-17,2025-09-06,Moved Out
H000112,S002219,Birchwood Hall,507,2026-01-12,,Active
H000113,S002091,Bellview Hall,384,2024-03-01,2024-07-04,Moved Out
H000114,S001246,Maple Ridge Hall,586,2024-09-21,,Active
H000115,S007445,Founders Hall,599,2025-02-26,2025-12-09,Moved Out
H000116,S005402,Birchwood Hall,253,2026-04-06,,Active
H000117,S000437,Meadowbrook Hall,200,2024-03-03,,Active
H000118,S008041,Birchwood Hall,263,2026-03-03,,Active
H000119,S008205,Lakeside Terrace,594,2023-08-05,2023-12-18,Moved Out
H000120,S004983,Highland Hall,344,2023-08-28,2024-04-07,Moved Out
H000121,S000838,Sunrise Commons,115,2024-05-19,,Active
H000122,S002585,Aspen Court,316,2024-04-05,,Active
H000123,S001092,Maple Ridge Hall,572,2025-02-13,,Pending Assignment
H000124,S008405,Bellview Hall,310,2026-02-23,,Active
H000125,S000969,Lakeside Terrace,499,2024-06-15,,Active
H000126,S003544,Meadowbrook Hall,476,2023-11-17,,Active
H000127,S006350,Bellview Hall,266,2025-09-13,,Active
H000128,S002078,Harborview Hall,521,2023-08-03,2024-05-08,Moved Out
H000129,S000595,Highland Hall,216,2026-02-10,,Active
H000130,S001829,Highland Hall,480,2023-11-25,,Pending Assignment
H000131,S006736,Maple Ridge Hall,577,2025-08-25,,Pending Assignment
H000132,S005951,Northgate Hall,224,2025-12-21,,Active
H000133,S001551,Riverbend Hall,158,2025-02-27,,Active
H000134,S002570,Meadowbrook Hall,505,2023-10-22,,Active
H000135,S004701,Riverbend Hall,126,2023-12-13,,Active
H000136,S002915,Cedar Crest Hall,230,2025-08-11,,Active
H000137,S004985,Cedar Crest Hall,400,2023-08-20,2023-12-07,Moved Out
H000138,S000462,Maple Ridge Hall,528,2025-10-30,,Active
H000139,S000558,Birchwood Hall,421,2023-11-04,,Active
H000140,S001875,Founders Hall,170,2024-03-07,2024-05-10,Moved Out
H000141,S004472,Cedar Crest Hall,576,2023-12-13,,Active
H000142,S002189,Highland Hall,313,2025-03-01,2025-09-30,Moved Out
H000143,S008484,Northgate Hall,500,2023-09-19,,Active
H000144,S001060,Summit House,257,2024-06-04,2024-11-28,Moved Out
H000145,S007849,Harborview Hall,377,2024-11-08,,Active
H000146,S004943,Bellview Hall,562,2024-10-22,,Active
H000147,S008500,Bellview Hall,229,2025-07-13,,Active
H000148,S002676,Maple Ridge Hall,130,2025-02-05,,Pending Assignment
H000149,S005836,Summit House,580,2024-11-22,,Active
H000150,S004783,Highland Hall,580,2023-08-18,2023-12-02,Moved Out
H000151,S001774,Harborview Hall,410,2025-08-28,,Active
H000152,S001908,Northgate Hall,249,2024-06-29,,Active
H000153,S004098,Sunrise Commons,204,2024-01-21,,Active
H000154,S006602,Sunrise Commons,460,2025-09-22,,Active
H000155,S003698,Willow Creek Hall,277,2023-10-10,,Active
H000156,S003330,Harborview Hall,248,2025-05-14,,Active
H000157,S007448,Northgate Hall,225,2025-08-10,2025-12-14,Moved Out
H000158,S001187,Willow Creek Hall,230,2025-08-10,,Active
H000159,S009769,Harborview Hall,131,2025-11-12,,Active
H000160,S008582,Founders Hall,183,2023-08-28,,Active
H000161,S001245,Northgate Hall,127,2026-06-26,,Active
H000162,S006710,Lakeside Terrace,261,2024-08-28,,Active
H000163,S005089,Summit House,453,2024-07-05,2025-02-16,Moved Out
H000164,S007602,Lakeside Terrace,109,2024-07-04,,Active
H000165,S007024,Bellview Hall,333,2024-08-07,,Active
H000166,S001631,Highland Hall,293,2024-09-18,2025-02-10,Moved Out
H000167,S000562,Sunrise Commons,586,2026-02-15,,Active
H000168,S004988,Summit House,146,2023-09-16,,Active
H000169,S004057,Maple Ridge Hall,499,2024-12-16,,Active
H000170,S006223,Lakeside Terrace,327,2023-09-10,,Active
H000171,S000646,Harborview Hall,360,2024-07-28,,Active
H000172,S004128,Aspen Court,448,2024-03-31,,Active
H000173,S007104,Bellview Hall,187,2024-12-02,2025-05-05,Moved Out
H000174,S005701,Cedar Crest Hall,408,2024-09-21,,Active
H000175,S008141,Northgate Hall,328,2025-02-13,,Active
H000176,S007850,Northgate Hall,130,2024-05-18,,Active
H000177,S006335,Summit House,193,2024-01-15,,Active
H000178,S004322,Summit House,312,2026-06-27,,Active
H000179,S001776,Highland Hall,358,2023-10-17,,Pending Assignment
H000180,S007498,Aspen Court,299,2024-09-26,,Active
H000181,S009672,Lakeside Terrace,112,2026-01-17,,Active
H000182,S006236,Maple Ridge Hall,169,2025-11-09,2026-01-10,Moved Out
H000183,S005097,Bellview Hall,339,2025-11-15,,Active
H000184,S006705,Maple Ridge Hall,129,2026-04-19,,Active
H000185,S002814,Meadowbrook Hall,259,2026-06-03,,Active
H000186,S007529,Maple Ridge Hall,518,2025-04-27,,Active
H000187,S004143,Bellview Hall,499,2026-01-23,,Pending Assignment
H000188,S009454,Lakeside Terrace,124,2026-04-24,,Active
H000189,S007342,Maple Ridge Hall,598,2025-11-25,,Active
H000190,S000911,Founders Hall,494,2025-03-29,,Active
H000191,S001489,Founders Hall,580,2024-02-03,2024-09-16,Moved Out
H000192,S005478,Summit House,445,2024-03-26,,Active
H000193,S006812,Highland Hall,220,2023-10-13,2024-06-06,Moved Out
H000194,S005282,Northgate Hall,214,2025-02-20,2025-06-06,Moved Out
H000195,S008320,Bellview Hall,547,2025-02-13,2025-10-09,Moved Out
H000196,S002504,Aspen Court,417,2025-05-20,,Active
H000197,S008774,Maple Ridge Hall,346,2024-02-15,,Active
H000198,S009781,Highland Hall,254,2026-02-21,2026-08-17,Moved Out
H000199,S004662,Northgate Hall,432,2025-04-23,,Active
H000200,S005256,Aspen Court,202,2024-03-01,,Active
H000201,S004893,Cedar Crest Hall,385,2024-06-11,,Active
H000202,S009428,Founders Hall,591,2024-12-25,,Active
H000203,S006175,Founders Hall,586,2023-12-17,2024-08-30,Moved Out
H000204,S004698,Aspen Court,127,2026-03-04,2026-08-20,Moved Out
H000205,S002483,Maple Ridge Hall,275,2024-09-23,2024-12-24,Moved Out
H000206,S003735,Maple Ridge Hall,263,2024-04-02,,Active
H000207,S003685,Highland Hall,311,2025-11-11,2026-02-14,Moved Out
H000208,S001593,Meadowbrook Hall,537,2024-08-11,,Active
H000209,S002586,Harborview Hall,296,2024-07-26,,Active
H000210,S001513,Willow Creek Hall,154,2023-10-18,,Active
H000211,S009088,Willow Creek Hall,338,2026-10-12,,Active
H000212,S008728,Willow Creek Hall,356,2025-07-16,,Active
H000213,S001537,Founders Hall,159,2023-12-11,2024-06-10,Moved Out
H000214,S004959,Founders Hall,226,2024-08-05,,Active
H000215,S005737,Birchwood Hall,332,2025-12-18,,Active
H000216,S005394,Bellview Hall,368,2026-05-04,2026-08-20,Moved Out
H000217,S005195,Sunrise Commons,432,2024-09-23,,Active
H000218,S003540,Birchwood Hall,292,2023-08-06,,Active
H000219,S000483,Meadowbrook Hall,114,2026-04-30,,Active
H000220,S001991,Lakeside Terrace,440,2024-03-21,,Active
H000221,S003873,Riverbend Hall,549,2024-03-31,,Pending Assignment
H000222,S002622,Founders Hall,405,2024-09-14,,Active
H000223,S007172,Meadowbrook Hall,137,2024-09-30,,Pending Assignment
H000224,S002708,Maple Ridge Hall,550,2023-11-13,,Active
H000225,S000714,Sunrise Commons,230,2024-10-11,,Active
H000226,S009218,Summit House,460,2025-01-05,,Active
H000227,S008558,Riverbend Hall,205,2024-11-09,,Active
H000228,S006340,Harborview Hall,411,2024-05-03,2024-09-24,Moved Out
H000229,S004507,Aspen Court,410,2024-10-07,2025-02-19,Moved Out
H000230,S001110,Maple Ridge Hall,308,2024-09-14,,Active
H000231,S007718,Cedar Crest Hall,242,2026-03-12,,Active
H000232,S006568,Summit House,484,2026-04-13,,Active
H000233,S008144,Aspen Court,297,2024-02-25,,Active
H000234,S000371,Maple Ridge Hall,464,2023-12-14,,Active
H000235,S002266,Sunrise Commons,427,2024-10-13,2024-12-15,Moved Out
H000236,S000099,Cedar Crest Hall,312,2023-11-08,2024-08-26,Moved Out
H000237,S008365,Birchwood Hall,466,2024-10-17,,Active
H000238,S006454,Founders Hall,302,2026-03-18,2026-08-20,Moved Out
H000239,S003292,Birchwood Hall,147,2025-03-12,,Active
H000240,S009110,Willow Creek Hall,199,2026-01-27,2026-06-10,Moved Out
H000241,S008639,Founders Hall,530,2025-05-23,,Active
H000242,S003782,Maple Ridge Hall,310,2024-08-25,2024-11-26,Moved Out
H000243,S008968,Cedar Crest Hall,584,2024-02-09,2024-06-14,Moved Out
H000244,S004395,Riverbend Hall,469,2025-06-07,,Active
H000245,S006973,Birchwood Hall,542,2026-01-27,2026-06-17,Moved Out
H000246,S000336,Cedar Crest Hall,123,2025-09-15,2026-02-12,Moved Out
H000247,S000800,Harborview Hall,459,2023-10-28,,Active
H000248,S003241,Birchwood Hall,419,2023-08-30,2023-12-15,Moved Out
H000249,S001178,Cedar Crest Hall,180,2026-05-08,,Active
H000250,S000340,Sunrise Commons,191,2024-05-27,,Active
H000251,S006423,Sunrise Commons,316,2026-07-30,2026-08-20,Moved Out
H000252,S000414,Cedar Crest Hall,245,2026-01-30,,Active
H000253,S002808,Harborview Hall,513,2026-06-13,2026-08-20,Moved Out
H000254,S006426,Bellview Hall,269,2025-06-10,,Pending Assignment
H000255,S008098,Highland Hall,276,2026-03-06,2026-06-29,Moved Out
H000256,S005775,Aspen Court,119,2025-04-24,2025-12-01,Moved Out
H000257,S008392,Bellview Hall,349,2024-08-15,2025-04-15,Moved Out
H000258,S008113,Meadowbrook Hall,580,2023-12-10,,Active
H000259,S000951,Sunrise Commons,210,2025-11-02,,Active
H000260,S000298,Riverbend Hall,166,2023-08-21,,Active
H000261,S007836,Lakeside Terrace,278,2025-05-21,2025-11-30,Moved Out
H000262,S009035,Birchwood Hall,576,2025-06-13,,Active
H000263,S007391,Willow Creek Hall,396,2026-04-15,2026-08-04,Moved Out
H000264,S004483,Lakeside Terrace,243,2024-01-05,2024-07-01,Moved Out
H000265,S001973,Bellview Hall,161,2025-01-19,2025-04-21,Moved Out
H000266,S004344,Northgate Hall,235,2024-05-15,,Active
H000267,S009475,Aspen Court,597,2026-06-28,2026-08-20,Moved Out
H000268,S008870,Birchwood Hall,215,2023-08-05,,Active
H000269,S000251,Sunrise Commons,528,2023-08-07,2024-03-15,Moved Out
H000270,S000571,Birchwood Hall,277,2025-09-01,,Active
H000271,S001766,Birchwood Hall,421,2025-01-12,,Active
H000272,S000715,Cedar Crest Hall,324,2024-06-12,,Active
H000273,S000521,Maple Ridge Hall,502,2025-07-27,2026-03-12,Moved Out
H000274,S003756,Riverbend Hall,517,2025-04-11,,Active
H000275,S003971,Riverbend Hall,114,2024-10-08,,Active
H000276,S001151,Meadowbrook Hall,261,2026-02-27,,Active
H000277,S007340,Sunrise Commons,318,2025-01-18,,Active
H000278,S005900,Riverbend Hall,524,2025-05-29,,Active
H000279,S009735,Aspen Court,548,2024-03-23,2024-11-16,Moved Out
H000280,S000826,Northgate Hall,433,2025-03-25,2025-08-12,Moved Out
H000281,S009232,Willow Creek Hall,541,2025-02-06,,Active
H000282,S005116,Lakeside Terrace,386,2025-04-05,2025-12-16,Moved Out
H000283,S001215,Willow Creek Hall,582,2024-05-28,,Active
H000284,S008601,Birchwood Hall,538,2026-05-06,2026-07-19,Moved Out
H000285,S000633,Meadowbrook Hall,181,2026-07-01,,Active
H000286,S002707,Meadowbrook Hall,584,2025-03-18,,Active
H000287,S000033,Highland Hall,433,2024-12-01,,Active
H000288,S002898,Sunrise Commons,421,2025-03-20,2025-12-27,Moved Out
H000289,S001008,Harborview Hall,256,2024-12-10,,Active
H000290,S008834,Highland Hall,117,2023-08-31,,Pending Assignment
H000291,S006420,Riverbend Hall,425,2025-07-30,,Active
H000292,S007101,Northgate Hall,451,2025-06-29,2026-04-03,Moved Out
H000293,S007048,Summit House,401,2023-11-06,,Active
H000294,S008079,Highland Hall,190,2025-12-22,,Active
H000295,S006299,Bellview Hall,361,2024-07-29,,Active
H000296,S004052,Founders Hall,114,2023-10-21,,Active
H000297,S000529,Meadowbrook Hall,375,2026-01-07,,Active
H000298,S001054,Harborview Hall,568,2023-11-09,,Active
H000299,S008274,Aspen Court,407,2024-01-25,,Active
H000300,S005061,Cedar Crest Hall,119,2023-08-24,,Active
H000301,S000411,Harborview Hall,273,2023-08-01,2023-11-28,Moved Out
H000302,S009799,Lakeside Terrace,219,2025-08-30,,Active
H000303,S007566,Founders Hall,245,2025-01-02,,Active
H000304,S004741,Meadowbrook Hall,165,2024-04-11,,Active
H000305,S008823,Willow Creek Hall,268,2025-05-06,,Active
H000306,S000077,Founders Hall,205,2026-02-13,2026-08-18,Moved Out
H000307,S009703,Lakeside Terrace,355,2025-11-14,2026-07-16,Moved Out
H000308,S003284,Riverbend Hall,445,2025-04-13,,Active
H000309,S006526,Highland Hall,563,2025-08-29,,Active
H000310,S008500,Northgate Hall,216,2026-01-14,,Active
H000311,S006152,Summit House,178,2026-07-07,,Active
H000312,S005685,Riverbend Hall,469,2025-05-05,2026-02-08,Moved Out
H000313,S006248,Aspen Court,363,2024-12-04,,Active
H000314,S003688,Lakeside Terrace,405,2024-08-25,2025-04-11,Moved Out
H000315,S007880,Northgate Hall,180,2025-12-15,2026-08-20,Moved Out
H000316,S001601,Sunrise Commons,496,2026-06-04,,Active
H000317,S000050,Birchwood Hall,165,2026-05-31,,Active
H000318,S009328,Northgate Hall,556,2026-04-07,,Active
H000319,S000389,Meadowbrook Hall,507,2026-01-28,,Active
H000320,S008549,Bellview Hall,501,2025-06-04,,Active
H000321,S007678,Highland Hall,392,2024-02-10,2024-06-19,Moved Out
H000322,S008780,Harborview Hall,137,2026-07-12,,Active
H000323,S001053,Meadowbrook Hall,263,2025-09-21,,Active
H000324,S008254,Aspen Court,467,2024-06-14,2024-11-01,Moved Out
H000325,S003432,Birchwood Hall,262,2024-04-09,,Active
H000326,S003109,Sunrise Commons,154,2023-09-18,,Active
H000327,S003802,Meadowbrook Hall,572,2026-07-15,2026-08-20,Moved Out
H000328,S000367,Bellview Hall,112,2025-01-13,,Active
H000329,S001550,Meadowbrook Hall,530,2024-04-25,2024-07-14,Moved Out
H000330,S007396,Highland Hall,233,2026-01-26,2026-08-20,Moved Out
H000331,S005567,Highland Hall,543,2026-01-09,2026-07-03,Moved Out
H000332,S007877,Cedar Crest Hall,376,2026-06-09,,Active
H000333,S000319,Summit House,104,2023-08-31,2024-03-04,Moved Out
H000334,S009207,Maple Ridge Hall,154,2026-12-18,,Active
H000335,S004475,Aspen Court,211,2026-03-21,,Active
H000336,S002623,Riverbend Hall,312,2026-01-13,,Active
H000337,S008254,Cedar Crest Hall,288,2024-12-15,,Active
H000338,S008310,Birchwood Hall,255,2023-12-08,,Active
H000339,S008145,Founders Hall,235,2026-04-13,,Active
H000340,S009654,Meadowbrook Hall,429,2025-11-16,,Active
H000341,S008942,Willow Creek Hall,164,2026-03-27,,Active
H000342,S008277,Northgate Hall,381,2025-07-16,2026-02-01,Moved Out
H000343,S008745,Meadowbrook Hall,534,2025-04-29,2026-02-20,Moved Out
H000344,S007905,Lakeside Terrace,562,2026-08-18,2026-08-20,Moved Out
H000345,S003136,Bellview Hall,301,2026-02-06,2026-05-03,Moved Out
H000346,S006645,Riverbend Hall,355,2025-06-01,2025-08-06,Moved Out
H000347,S002772,Sunrise Commons,370,2024-11-11,2025-09-07,Moved Out
H000348,S007454,Birchwood Hall,525,2023-08-20,,Active
H000349,S000511,Cedar Crest Hall,174,2025-03-31,,Active
H000350,S008149,Sunrise Commons,445,2024-07-03,,Active
H000351,S001522,Meadowbrook Hall,291,2025-10-02,,Active
H000352,S001193,Founders Hall,351,2025-11-09,2026-03-05,Moved Out
H000353,S003215,Founders Hall,228,2024-12-25,,Active
H000354,S005362,Cedar Crest Hall,157,2026-03-13,,Active
H000355,S002465,Summit House,581,2025-07-13,,Active
H000356,S002335,Riverbend Hall,377,2024-05-12,,Active
H000357,S005083,Founders Hall,358,2024-02-17,,Active
H000358,S003465,Harborview Hall,392,2024-03-27,2024-08-11,Moved Out
H000359,S007749,Willow Creek Hall,428,2026-02-04,2026-08-20,Moved Out
H000360,S003858,Riverbend Hall,154,2025-10-14,,Active
H000361,S001348,Highland Hall,223,2024-11-07,,Active
H000362,S005208,Lakeside Terrace,223,2024-12-12,,Active
H000363,S000884,Riverbend Hall,480,2024-10-14,,Active
H000364,S004245,Sunrise Commons,259,2024-05-12,2025-02-23,Moved Out
H000365,S003188,Meadowbrook Hall,399,2026-08-11,2026-08-20,Moved Out
H000366,S003616,Birchwood Hall,356,2025-12-12,,Active
H000367,S001880,Maple Ridge Hall,573,2025-06-26,2025-09-14,Moved Out
H000368,S001467,Founders Hall,288,2023-09-13,,Active
H000369,S009796,Cedar Crest Hall,546,2023-12-23,2024-03-01,Moved Out
H000370,S000569,Lakeside Terrace,594,2023-12-05,,Active
H000371,S006077,Meadowbrook Hall,355,2023-11-20,,Active
H000372,S003459,Maple Ridge Hall,310,2025-12-13,2026-08-20,Moved Out
H000373,S004436,Bellview Hall,533,2024-04-11,,Active
H000374,S000466,Willow Creek Hall,344,2026-06-18,,Active
H000375,S007179,Bellview Hall,191,2026-07-19,,Active
H000376,S007495,Meadowbrook Hall,164,2024-09-08,,Active
H000377,S001859,Aspen Court,578,2026-03-17,,Active
H000378,S006319,Maple Ridge Hall,414,2023-08-15,,Active
H000379,S007624,Aspen Court,505,2026-02-01,2026-04-20,Moved Out
H000380,S008606,Sunrise Commons,237,2025-11-15,,Active
H000381,S003934,Harborview Hall,127,2024-03-02,,Active
H000382,S001187,Harborview Hall,581,2026-02-20,2026-08-20,Moved Out
H000383,S008471,Birchwood Hall,189,2025-02-21,,Active
H000384,S007332,Willow Creek Hall,445,2024-11-04,,Active
H000385,S001018,Bellview Hall,115,2026-02-13,2026-06-03,Moved Out
H000386,S002047,Highland Hall,285,2024-01-04,,Active
H000387,S005453,Sunrise Commons,209,2026-08-16,,Active
H000388,S008459,Bellview Hall,185,2026-01-29,,Active
H000389,S007483,Summit House,220,2024-09-01,,Active
H000390,S007148,Founders Hall,449,2026-04-13,,Active
H000391,S000840,Sunrise Commons,498,2024-06-21,2025-04-08,Moved Out
H000392,S000642,Sunrise Commons,506,2024-12-16,,Active
H000393,S003326,Bellview Hall,411,2026-07-13,2026-08-20,Moved Out
H000394,S002476,Northgate Hall,401,2024-08-13,,Active
H000395,S001203,Highland Hall,182,2024-12-30,2025-03-22,Moved Out
H000396,S009293,Riverbend Hall,492,2025-02-24,2025-11-22,Moved Out
H000397,S005982,Willow Creek Hall,312,2024-09-20,,Active
H000398,S001963,Riverbend Hall,554,2024-10-03,,Active
H000399,S000387,Highland Hall,256,2024-07-08,,Active
H000400,S001252,Harborview Hall,547,2026-08-11,,Active
H000401,S005923,Founders Hall,508,2023-09-30,2024-03-08,Moved Out
H000402,S009938,Summit House,258,2025-03-17,,Active
H000403,S002447,Cedar Crest Hall,532,2023-08-03,,Active
H000404,S005250,Founders Hall,277,2024-04-04,,Active
H000405,S005342,Birchwood Hall,261,2023-11-18,,Active
H000406,S003939,Northgate Hall,407,2026-02-07,,Pending Assignment
H000407,S006409,Meadowbrook Hall,185,2026-03-05,,Active
H000408,S008951,Meadowbrook Hall,371,2026-03-14,,Active
H000409,S005385,Highland Hall,501,2024-03-10,,Active
H000410,S005864,Sunrise Commons,107,2024-11-26,,Active
H000411,S002167,Lakeside Terrace,597,2024-02-25,,Active
H000412,S003213,Lakeside Terrace,363,2025-11-07,,Active
H000413,S002966,Riverbend Hall,133,2025-11-22,,Active
H000414,S004218,Founders Hall,336,2024-04-22,2025-02-15,Moved Out
H000415,S001660,Harborview Hall,384,2024-09-03,,Active
H000416,S005502,Northgate Hall,584,2025-11-12,,Pending Assignment
H000417,S002762,Lakeside Terrace,210,2024-07-10,2025-01-14,Moved Out
H000418,S001748,Meadowbrook Hall,281,2026-01-09,,Active
H000419,S001557,Riverbend Hall,345,2025-04-04,,Active
H000420,S009227,Riverbend Hall,436,2023-10-08,2024-02-22,Moved Out
H000421,S006589,Bellview Hall,412,2023-08-24,,Active
H000422,S000503,Maple Ridge Hall,523,2025-04-28,,Active
H000423,S008464,Founders Hall,349,2024-05-24,,Active
H000424,S001160,Meadowbrook Hall,194,2025-12-14,2026-04-09,Moved Out
