report_id,reported_student_id,reporter_type,submitted_date,category,location,priority,description,anonymous
WR000103,S008402,Anonymous,2024-10-21,Discrimination,Riverbend Hall,Low,Submission describes an ongoing issue related to discrimination at Riverbend Hall.,True
WR000104,S006287,Student,2024-10-22,Bias Incident,Engineering Annex,High,Reporter states they witnessed behavior consistent with bias incident.,False
WR000105,,Community Member,2024-10-22,Bias Incident,Stadium,Low,A concern was submitted regarding possible bias incident near Stadium.,False
WR000106,S008288,Community Member,2024-10-23,Hazing,Summit House,Low,A concern was submitted regarding possible hazing near Summit House.,False
WR000107,S003898,Anonymous,2024-10-23,Safety Hazard,Library,Medium,Reporter describes an incident involving safety hazard that occurred at Library.,True
WR000108,S006829,Parent,2024-10-26,Academic Dishonesty,Meadowbrook Hall,Low,Reporter describes an incident involving academic dishonesty that occurred at Meadowbrook Hall.,False
WR000109,,Student,2024-10-28,Other,Science Building,Medium,Concern raised about other; reporter requests follow-up from staff.,False
WR000110,,Staff,2024-10-28,Hazing,Sunrise Commons,High,Reporter states they witnessed behavior consistent with hazing.,False
WR000111,S007719,Student,2024-10-29,Bullying/Harassment,Sunrise Commons,Low,Submission describes an ongoing issue related to bullying/harassment at Sunrise Commons.,False
WR000112,,Community Member,2024-10-29,Hazing,Riverbend Hall,Low,Concern raised about hazing; reporter requests follow-up from staff.,False
WR000113,S002959,Student,2024-10-30,Safety Hazard,Science Building,Low,Submission describes an ongoing issue related to safety hazard at Science Building.,False
WR000114,,Anonymous,2024-11-03,Alcohol/Drug Concern,Bike Path,Medium,Submission describes an ongoing issue related to alcohol/drug concern at Bike Path.,True
WR000115,,Staff,2024-11-04,Theft,Sunrise Commons,Low,A concern was submitted regarding possible theft near Sunrise Commons.,False
WR000116,S002922,Anonymous,2024-11-04,Other,Birchwood Hall,Medium,Reporter describes an incident involving other that occurred at Birchwood Hall.,True
WR000117,,Anonymous,2024-11-04,Hazing,Fine Arts Center,Medium,Reporter describes an incident involving hazing that occurred at Fine Arts Center.,True
WR000118,S001478,Staff,2024-11-05,Academic Dishonesty,Aspen Court,Medium,Reporter states they witnessed behavior consistent with academic dishonesty.,False
WR000119,S009505,Anonymous,2024-11-06,Other,Highland Hall,Low,Concern raised about other; reporter requests follow-up from staff.,True
WR000120,,Faculty,2024-11-06,Safety Hazard,Willow Creek Hall,Medium,Submission describes an ongoing issue related to safety hazard at Willow Creek Hall.,False
WR000121,S002629,Student,2024-11-06,Other,Highland Hall,High,Reporter states they witnessed behavior consistent with other.,False
WR000122,,Student,2024-11-07,Property Damage,Stadium,High,A concern was submitted regarding possible property damage near Stadium.,False
WR000123,,Faculty,2024-11-08,Academic Dishonesty,Highland Hall,Urgent,Submission describes an ongoing issue related to academic dishonesty at Highland Hall.,False
WR000124,,Anonymous,2024-11-09,Safety Hazard,Founders Hall,Low,Reporter states they witnessed behavior consistent with safety hazard.,True
WR000125,S006572,Student,2024-11-10,Theft,Northgate Hall,Medium,Reporter states they witnessed behavior consistent with theft.,False
WR000126,,Staff,2024-11-12,Bias Incident,Birchwood Hall,High,Submission describes an ongoing issue related to bias incident at Birchwood Hall.,False
WR000127,,Community Member,2024-11-12,Alcohol/Drug Concern,Off-Campus Housing,Medium,Reporter describes an incident involving alcohol/drug concern that occurred at Off-Campus Housing.,False
WR000128,,Anonymous,2024-11-13,Hazing,East Lot,Medium,Submission describes an ongoing issue related to hazing at East Lot.,True
WR000129,,Anonymous,2024-11-13,Hazing,Maple Ridge Hall,Medium,Reporter describes an incident involving hazing that occurred at Maple Ridge Hall.,True
WR000130,,Faculty,2024-11-13,Discrimination,Fine Arts Center,Medium,Submission describes an ongoing issue related to discrimination at Fine Arts Center.,False
WR000131,S008193,Student,2024-11-13,Property Damage,Harborview Hall,Low,A concern was submitted regarding possible property damage near Harborview Hall.,False
WR000132,S000053,Community Member,2024-11-13,Hazing,Bellview Hall,Low,Reporter states they witnessed behavior consistent with hazing.,False
WR000133,S005024,Anonymous,2024-11-14,Discrimination,Willow Creek Hall,Medium,Concern raised about discrimination; reporter requests follow-up from staff.,True
WR000134,,Parent,2024-11-14,Academic Dishonesty,Cedar Crest Hall,Medium,Reporter states they witnessed behavior consistent with academic dishonesty.,False
WR000135,S009136,Anonymous,2024-11-14,Alcohol/Drug Concern,Willow Creek Hall,Low,Concern raised about alcohol/drug concern; reporter requests follow-up from staff.,True
WR000136,,Community Member,2024-11-16,Property Damage,Riverbend Hall,Urgent,Reporter describes an incident involving property damage that occurred at Riverbend Hall.,False
WR000137,S009297,Anonymous,2024-11-16,Safety Hazard,Aspen Court,Low,Submission describes an ongoing issue related to safety hazard at Aspen Court.,True
WR000138,,Anonymous,2024-11-17,Mental Health Concern,Online / Remote,High,Submission describes an ongoing issue related to mental health concern at Online / Remote.,True
WR000139,,Anonymous,2024-11-17,Theft,Meadowbrook Hall,High,Concern raised about theft; reporter requests follow-up from staff.,True
WR000140,,Community Member,2024-11-17,Hazing,Summit House,High,Submission describes an ongoing issue related to hazing at Summit House.,False
WR000141,S002287,Student,2024-11-18,Mental Health Concern,Engineering Annex,Medium,Reporter states they witnessed behavior consistent with mental health concern.,False
WR000142,,Anonymous,2024-11-19,Sexual Misconduct,Highland Hall,Medium,Reporter states they witnessed behavior consistent with sexual misconduct.,True
WR000143,S000976,Student,2024-11-20,Bullying/Harassment,Maple Ridge Hall,Low,Submission describes an ongoing issue related to bullying/harassment at Maple Ridge Hall.,False
WR000144,S006188,Student,2024-11-22,Property Damage,Birchwood Hall,Medium,Reporter describes an incident involving property damage that occurred at Birchwood Hall.,False
WR000145,S003248,Anonymous,2024-11-22,Property Damage,Sunrise Commons,Medium,Submission describes an ongoing issue related to property damage at Sunrise Commons.,True
WR000146,S008835,Student,2024-11-22,Other,East Lot,Low,Submission describes an ongoing issue related to other at East Lot.,False
WR000147,S009131,Student,2024-11-23,Mental Health Concern,Science Building,High,Reporter states they witnessed behavior consistent with mental health concern.,False
WR000148,,Student,2024-11-23,Bullying/Harassment,Off-Campus,Low,Reporter describes an incident involving bullying/harassment that occurred at Off-Campus.,False
WR000149,,Anonymous,2024-11-24,Bullying/Harassment,Harborview Hall,Medium,A concern was submitted regarding possible bullying/harassment near Harborview Hall.,True
WR000150,,Community Member,2024-11-25,Mental Health Concern,Lakeside Terrace,Medium,Submission describes an ongoing issue related to mental health concern at Lakeside Terrace.,False
WR000151,S009984,Anonymous,2024-11-26,Alcohol/Drug Concern,Library,High,A concern was submitted regarding possible alcohol/drug concern near Library.,True
WR000152,S007957,Student,2024-11-27,Alcohol/Drug Concern,Stadium,Medium,Reporter describes an incident involving alcohol/drug concern that occurred at Stadium.,False
WR000153,,Anonymous,2024-11-27,Theft,Maple Ridge Hall,Low,A concern was submitted regarding possible theft near Maple Ridge Hall.,True
WR000154,S007425,Anonymous,2024-11-27,Safety Hazard,Summit House,Medium,Reporter states they witnessed behavior consistent with safety hazard.,True
WR000155,S006341,Community Member,2024-11-28,Other,Off-Campus,Urgent,Reporter describes an incident involving other that occurred at Off-Campus.,False
WR000156,S008756,Student,2024-11-28,Safety Hazard,Engineering Annex,Low,Reporter describes an incident involving safety hazard that occurred at Engineering Annex.,False
WR000157,S009900,Staff,2024-11-30,Other,Birchwood Hall,Medium,A concern was submitted regarding possible other near Birchwood Hall.,False
WR000158,,Student,2024-11-30,Other,Sunrise Commons,Medium,Reporter describes an incident involving other that occurred at Sunrise Commons.,False
WR000159,,Faculty,2024-11-30,Safety Hazard,Highland Hall,Medium,A concern was submitted regarding possible safety hazard near Highland Hall.,False
WR000160,S003330,Student,2024-12-01,Discrimination,Founders Hall,High,Concern raised about discrimination; reporter requests follow-up from staff.,False
WR000161,,Faculty,2024-12-01,Alcohol/Drug Concern,Recreation Center,Medium,Reporter describes an incident involving alcohol/drug concern that occurred at Recreation Center.,False
WR000162,S004643,Anonymous,2024-12-01,Theft,Harborview Hall,Medium,Reporter describes an incident involving theft that occurred at Harborview Hall.,True
WR000163,S000431,Student,2024-12-01,Other,Riverbend Hall,Low,Submission describes an ongoing issue related to other at Riverbend Hall.,False
WR000164,,Anonymous,2024-12-02,Property Damage,Stadium,Low,A concern was submitted regarding possible property damage near Stadium.,True
WR000165,,Faculty,2024-12-04,Bias Incident,Summit House,Low,Submission describes an ongoing issue related to bias incident at Summit House.,False
WR000166,S006317,Anonymous,2024-12-07,Bias Incident,Sunrise Commons,Low,Concern raised about bias incident; reporter requests follow-up from staff.,True
WR000167,,Student,2024-12-07,Other,Willow Creek Hall,Medium,Reporter describes an incident involving other that occurred at Willow Creek Hall.,False
WR000168,,Staff,2024-12-07,Hazing,Off-Campus Housing,Medium,Concern raised about hazing; reporter requests follow-up from staff.,False
WR000169,,Student,2024-12-07,Other,Aspen Court,Urgent,Reporter describes an incident involving other that occurred at Aspen Court.,False
WR000170,S003540,Community Member,2024-12-07,Other,Fine Arts Center,Low,Submission describes an ongoing issue related to other at Fine Arts Center.,False
WR000171,,Student,2024-12-08,Other,Cedar Crest Hall,Medium,Concern raised about other; reporter requests follow-up from staff.,False
WR000172,S004321,Faculty,2024-12-08,Academic Dishonesty,West Parking Garage,Low,Submission describes an ongoing issue related to academic dishonesty at West Parking Garage.,False
WR000173,,Anonymous,2024-12-09,Alcohol/Drug Concern,Bellview Hall,Medium,Reporter states they witnessed behavior consistent with alcohol/drug concern.,True
WR000174,,Community Member,2024-12-10,Property Damage,Cedar Crest Hall,Medium,Concern raised about property damage; reporter requests follow-up from staff.,False
WR000175,S001205,Anonymous,2024-12-10,Discrimination,East Lot,High,Submission describes an ongoing issue related to discrimination at East Lot.,True
WR000176,S001996,Anonymous,2024-12-11,Alcohol/Drug Concern,Stadium,Low,Reporter states they witnessed behavior consistent with alcohol/drug concern.,True
WR000177,S001690,Faculty,2024-12-11,Theft,Meadowbrook Hall,High,Reporter states they witnessed behavior consistent with theft.,False
WR000178,,Anonymous,2024-12-12,Academic Dishonesty,Off-Campus Housing,Low,Submission describes an ongoing issue related to academic dishonesty at Off-Campus Housing.,True
WR000179,S008637,Anonymous,2024-12-13,Alcohol/Drug Concern,Founders Hall,Low,Concern raised about alcohol/drug concern; reporter requests follow-up from staff.,True
WR000180,,Faculty,2024-12-13,Mental Health Concern,Sunrise Commons,Medium,Reporter states they witnessed behavior consistent with mental health concern.,False
WR000181,,Parent,2024-12-14,Property Damage,Fine Arts Center,High,A concern was submitted regarding possible property damage near Fine Arts Center.,False
WR000182,,Faculty,2024-12-15,Theft,Meadowbrook Hall,Low,Reporter describes an incident involving theft that occurred at Meadowbrook Hall.,False
WR000183,S005538,Student,2024-12-15,Bullying/Harassment,Aspen Court,High,Reporter describes an incident involving bullying/harassment that occurred at Aspen Court.,False
WR000184,S009671,Student,2024-12-15,Safety Hazard,East Lot,Medium,Concern raised about safety hazard; reporter requests follow-up from staff.,False
WR000185,S004401,Student,2024-12-17,Alcohol/Drug Concern,Online / Remote,Low,Submission describes an ongoing issue related to alcohol/drug concern at Online / Remote.,False
WR000186,S004651,Anonymous,2024-12-18,Sexual Misconduct,Fine Arts Center,Urgent,A concern was submitted regarding possible sexual misconduct near Fine Arts Center.,True
WR000187,S001600,Student,2024-12-19,Mental Health Concern,Main Quad,High,Reporter states they witnessed behavior consistent with mental health concern.,False
WR000188,,Parent,2024-12-19,Property Damage,Bike Path,High,A concern was submitted regarding possible property damage near Bike Path.,False
WR000189,,Anonymous,2024-12-19,Sexual Misconduct,Summit House,Low,Reporter describes an incident involving sexual misconduct that occurred at Summit House.,True
WR000190,S002549,Student,2024-12-19,Mental Health Concern,Lakeside Terrace,Low,A concern was submitted regarding possible mental health concern near Lakeside Terrace.,False
WR000191,S000059,Anonymous,2024-12-19,Bias Incident,Engineering Annex,Medium,A concern was submitted regarding possible bias incident near Engineering Annex.,True
WR000192,S008209,Staff,2024-12-20,Discrimination,West Parking Garage,Urgent,A concern was submitted regarding possible discrimination near West Parking Garage.,False
WR000193,S001339,Student,2024-12-20,Other,East Lot,Low,Reporter states they witnessed behavior consistent with other.,False
WR000194,S001598,Community Member,2024-12-21,Other,Northgate Hall,Medium,Reporter states they witnessed behavior consistent with other.,False
WR000195,S003720,Anonymous,2024-12-21,Academic Dishonesty,Riverbend Hall,Medium,A concern was submitted regarding possible academic dishonesty near Riverbend Hall.,True
WR000196,,Staff,2024-12-22,Other,Maple Ridge Hall,Medium,Concern raised about other; reporter requests follow-up from staff.,False
WR000197,S004828,Faculty,2024-12-22,Safety Hazard,Founders Hall,Medium,Submission describes an ongoing issue related to safety hazard at Founders Hall.,False
WR000198,S007957,Anonymous,2024-12-23,Bias Incident,Summit House,Low,Submission describes an ongoing issue related to bias incident at Summit House.,True
WR000199,,Anonymous,2024-12-24,Academic Dishonesty,Science Building,Medium,Reporter describes an incident involving academic dishonesty that occurred at Science Building.,True
WR000200,S001235,Staff,2024-12-25,Alcohol/Drug Concern,Summit House,High,Reporter states they witnessed behavior consistent with alcohol/drug concern.,False
WR000201,,Faculty,2024-12-26,Property Damage,Founders Hall,Low,Reporter describes an incident involving property damage that occurred at Founders Hall.,False
WR000202,S006406,Community Member,2024-12-27,Property Damage,Fine Arts Center,Medium,Concern raised about property damage; reporter requests follow-up from staff.,False
WR000203,S001132,Anonymous,2024-12-27,Other,Harborview Hall,Low,Reporter states they witnessed behavior consistent with other.,True
WR000204,S000965,Faculty,2024-12-27,Academic Dishonesty,Off-Campus,Low,Reporter describes an incident involving academic dishonesty that occurred at Off-Campus.,False
WR000205,,Student,2024-12-28,Hazing,Summit House,Medium,Concern raised about hazing; reporter requests follow-up from staff.,False
WR000206,S003680,Student,2024-12-28,Property Damage,Founders Hall,Medium,A concern was submitted regarding possible property damage near Founders Hall.,False
WR000207,S009582,Community Member,2024-12-28,Academic Dishonesty,Aspen Court,Low,Concern raised about academic dishonesty; reporter requests follow-up from staff.,False
WR000208,,Anonymous,2024-12-28,Hazing,Summit House,Low,Reporter describes an incident involving hazing that occurred at Summit House.,True
WR000209,,Student,2024-12-28,Bullying/Harassment,Library,Low,Submission describes an ongoing issue related to bullying/harassment at Library.,False
WR000210,S003490,Student,2024-12-29,Alcohol/Drug Concern,Harborview Hall,Low,A concern was submitted regarding possible alcohol/drug concern near Harborview Hall.,False
